rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.002,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.073,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.001,65,40,1,13.6,0,0,0,0,0.5236,0.1989,0.122,0.5924,39.1,-0.061,28.1,14,-1,0,0,-0.443,-0.061,NaN
4,4.001,95,39,3,11.5,0.1277,3,0.1506,7,0.5446,0.1864,0.1625,0.6459,64.2,0.043,34.8,19,0.667,0,0.0198,0.046,0.0143333333333333,0.987906482537292
5,5.07,121,37,6,158.9,0.1816,6,0.1206,15.7,0.682,0.1949,0.1519,0.7606,48.8,0.159,33.6,24,0.5,0,0.0279,-0.419,0.0265,0.988127766560773
6,6.053,136,38,11,90.8,0.1942,8,0.1113,13,0.6717,0.1915,0.1446,0.7561,34.8,0.206,28.2,27,0.818,0,0.0124,0.124,0.0187272727272727,0.997959398221777
7,7.049,149,38,12,87.2,0.2134,12,0.1114,13.6,0.6967,0.2117,0.1416,0.8044,47.4,0.397,35.6,27,0.917,0.001,0.0317,0.268,0.0330833333333333,0.98890529933808
8,8.052,163,44,14,75.4,0.187,13,0.0951,8.6,0.74,0.2064,0.1422,0.8278,41.7,0.52,32.7,24,0.929,0.071,0.0175,-0.187,0.0371428571428571,0.995611492063862
9,9.05,176,41,15,71.4,0.1786,15,0.0923,8.7,0.7164,0.215,0.1412,0.8194,42.8,0.649,32.8,26,0.8,0,0.014,-0.132,0.0432666666666667,0.996922969154209
10,10.046,190,40,18,126.4,0.1741,16,0.0832,5.8,0.7504,0.1898,0.1409,0.827,36.6,0.691,29.5,25,0.889,0.028,0.01,0.11,0.0383888888888889,0.998349060695482
11,11.049,205,39,19,185.5,0.1738,18,0.0986,7.3,0.7472,0.1904,0.1402,0.8357,35.3,0.699,30.3,25,0.737,0,0.0136,-0.041,0.0367894736842105,0.996933700117621
12,12.05,220,43,20,176.4,0.1952,20,0.0822,7.1,0.7662,0.1783,0.1388,0.8507,30.2,0.83,30.3,25,0.9,0.001,0.0116,0.102,0.0415,0.998232699948484
13,13.05,235,45,21,168.2,0.1444,21,0.0915,9.4,0.7265,0.1998,0.1426,0.8224,41.2,0.948,31.8,25,0.714,0.001,0.0139,-0.128,0.0451428571428571,0.995356186366646
14,14.05,250,45,23,153.8,0.1408,22,0.0883,5.6,0.753,0.1951,0.1422,0.8371,37.8,0.981,32.1,28,0.652,0.001,0.0102,-0.095,0.0426521739130435,0.997372540933456
15,15.068,265,42,23,153.8,0.1577,20,0.0644,7.8,0.764,0.2199,0.1407,0.8503,33,1.067,32.9,26,0,0.043,0.0875,0.188,0.0463913043478261,0.831949750164237
16,16.057,280,48,20,176.2,0.5809,6,0.4445,23.5,0.7322,0.2277,0.1382,0.843,44.6,1.144,34.8,28,0.2,0.025,0.2309,-0.241,0.0572,0.917607953435806
17,17.02,294,57,6,565.6,0.2434,5,0.1817,7.4,0.7613,0.2624,0.1254,0.8966,56.3,0.693,35.3,31,0.167,0.167,0.0682,1.003,0.1155,0.959942459532118
18,18.024,309,39,5,676.4,0.1718,5,0.1054,13.8,0.7412,0.3162,0.1234,0.8688,42.5,0.978,43.1,32,0.2,0,0.0335,0.166,0.1956,0.980804399484224
19,19.021,324,55,5,676.4,0.2293,5,0.1532,13.2,0.7235,0.2995,0.1174,0.8754,47.6,1.058,47.8,32,-0.6,0.6,0.1006,0.538,0.2116,0.898620613132434
20,20.025,339,65,8,511.5,0.1524,6,0.1098,4,0.7644,0.2446,0.1075,0.8642,31,0.749,37.6,138,0.5,0,0.0246,-0.242,0.093625,0.986886238575093
21,21.026,354,65,9,461.1,0.1909,9,0.1075,6,0.7809,0.2355,0.1127,0.8857,58,0.787,38.9,143,0.778,0.001,0.0165,-0.187,0.0874444444444444,0.996257692854185
22,22.027,369,68,11,428.8,0.1513,11,0.1068,6.1,0.7743,0.2239,0.1141,0.8828,44.8,0.806,37.5,191,0.818,0.002,0.0105,0.564,0.0732727272727273,0.997589014485462
23,23.033,382,68,11,428.8,0.1312,11,0.1041,5.9,0.7301,0.2411,0.1082,0.884,57.3,0.953,37,191,0.818,0.091,0.009,-0.007,0.0866363636363636,0.99764441291885
24,24.026,395,72,12,491.2,0.1301,12,0.0891,7.6,0.7816,0.2322,0.1204,0.8683,44.2,0.989,37.6,182,0.833,0,0.0087,-0.473,0.0824166666666667,0.997761586822175
25,25.027,408,68,15,397.6,0.1456,14,0.0848,7.2,0.7746,0.2305,0.1166,0.8717,38,0.919,38.2,209,1,0,0.0096,-0.125,0.0612666666666667,0.997823981947419
26,26.089,421,72,15,397.6,0.1585,15,0.088,4.9,0.8086,0.2049,0.1142,0.8858,40.8,1.073,35.9,209,0.733,0.067,0.0081,0.07,0.0715333333333333,0.998693331742264
27,27.026,435,69,15,428.6,0.1589,14,0.0944,6.1,0.7587,0.2125,0.1206,0.865,40.4,1.186,34,207,0.867,0.001,0.0052,0.295,0.0790666666666667,0.999464394265616
28,28.026,450,65,16,404.2,0.1423,16,0.0927,4.5,0.7751,0.2145,0.1092,0.8887,40.2,1.252,34.7,214,0.75,0,0.0077,0.445,0.07825,0.99853492482965
29,29.026,465,69,17,442.9,0.1565,16,0.0898,5.5,0.7706,0.2084,0.1149,0.8836,37,1.303,34,228,0.765,0,0.0072,0.129,0.0766470588235294,0.998941145463408
30,30.026,480,68,18,422.5,0.1208,17,0.0817,6.9,0.7571,0.2152,0.1148,0.8459,44.2,1.329,35.2,239,0.722,0,0.008,-0.027,0.0738333333333333,0.997804704060952
31,31.025,495,72,18,422.5,0.0972,18,0.0846,5.1,0.7691,0.2173,0.1148,0.8732,34.1,1.419,34.6,239,0.389,0,0.0097,-0.03,0.0788333333333333,0.995008095407095
32,32.021,510,78,20,381,0.0756,19,0.0744,7,0.7563,0.2152,0.1114,0.8395,31.7,1.301,31.6,301,0.3,0.05,0.0073,-0.407,0.06505,0.995327083380862
33,33.058,525,65,19,401,0.1264,19,0.0528,7.5,0.7368,0.225,0.1257,0.8402,49,1.416,39.8,253,0.474,0.047,0.0276,-0.59,0.0745263157894737,0.975869531614517
34,34.058,540,60,21,364.4,0.2924,18,0.0834,5,0.755,0.25,0.1311,0.892,61.4,1.337,37.9,249,0.095,0.023,0.1759,-0.072,0.0636666666666667,0.798817688952841
35,35.063,555,101,21,419.3,0.0905,21,0.0533,4.3,0.7967,0.2397,0.149,0.881,59.5,1.248,39.1,254,0.667,0.024,0.0066,-0.245,0.0594285714285714,0.997337195250068
36,36.069,570,106,22,403.3,0.0976,21,0.0667,6.6,0.783,0.2446,0.1341,0.9012,49.9,1.266,34.5,295,0.636,0.045,0.0056,0.316,0.0575454545454545,0.998352580117545
37,37.028,582,105,21,422.4,0.0927,21,0.0607,4.2,0.7597,0.2582,0.1254,0.8806,47.5,1.358,34.9,289,0.619,0,0.0079,0.299,0.0646666666666667,0.996362061052636
38,38.029,594,107,23,396.7,0.0765,22,0.0692,4.1,0.7899,0.2482,0.1291,0.8968,57.8,1.304,37.5,350,0.522,0,0.0061,0.154,0.056695652173913,0.996815811329044
39,39.033,609,108,23,396.7,0.0959,23,0.0673,6.5,0.7527,0.2526,0.1191,0.8699,55.9,1.387,32.7,350,0.696,0.001,0.0074,-0.141,0.060304347826087,0.997018435897493
40,40.03,624,108,23,396.7,0.1092,23,0.0699,5.4,0.7592,0.2601,0.1336,0.8729,52.1,1.477,41.9,350,0.652,0,0.0078,0.262,0.0642173913043478,0.997445717412067
41,41.007,638,104,22,414,0.1168,22,0.0727,5.9,0.7447,0.2549,0.1313,0.8534,42.5,1.546,40,351,0.5,0,0.0107,-0.026,0.0702727272727273,0.995795000587833
42,42.037,652,109,24,424.4,0.0971,24,0.0747,3,0.7653,0.2429,0.1211,0.8625,40.4,1.494,34.7,430,0.625,0,0.006,0.046,0.06225,0.998089050540481
43,43.04,665,106,24,424.4,0.0979,24,0.0842,5,0.752,0.2412,0.1395,0.8471,48.6,1.573,38.7,430,0.583,0,0.0061,0.46,0.0655416666666667,0.998056939039295
44,44.028,678,109,24,424.4,0.097,24,0.0803,3.4,0.7584,0.2477,0.1237,0.8692,49.6,1.65,35.3,430,0.333,0.021,0.0069,0.138,0.06875,0.997466766920402
45,45.01,691,102,26,395,0.0944,25,0.0845,4.1,0.7554,0.2511,0.1622,0.8507,46.9,1.562,39.6,449,0.308,0.019,0.0096,-0.087,0.0600769230769231,0.994815633276555
46,46.066,705,101,25,412.4,0.0815,24,0.0844,4.8,0.7564,0.2608,0.1419,0.8573,46,1.4,37.4,457,0.36,0.04,0.0074,0.411,0.056,0.995869371774305
47,47.057,719,102,26,397.7,0.0884,25,0.0764,6.8,0.7337,0.2783,0.1524,0.8635,60.3,1.411,45.2,451,0.577,0.001,0.0062,0.451,0.0542692307692308,0.997537456463652
48,48.07,733,105,26,397.7,0.0869,26,0.0742,6.2,0.7154,0.2564,0.1458,0.8302,44,1.492,39.7,451,0.577,0,0.0082,-0.455,0.0573846153846154,0.99553801458407
49,49.074,748,106,26,397.7,0.0751,26,0.0685,2.7,0.7007,0.253,0.1312,0.8416,45.1,1.563,38.8,451,0.538,0,0.0076,-0.022,0.0601153846153846,0.994866264080874
50,50.016,761,106,27,383.6,0.0708,26,0.0748,4,0.7243,0.2394,0.132,0.8498,46.3,1.552,38.7,455,0.259,0.019,0.0052,0.22,0.0574814814814815,0.997299171236892
51,51.082,775,110,29,367.5,0.0703,29,0.0689,4.2,0.728,0.2471,0.1463,0.8286,51.1,1.502,41.3,478,0.586,0.052,0.005,0.178,0.0517931034482759,0.997467498932747
52,52.017,789,110,29,367.5,0.0683,29,0.0658,3.3,0.7297,0.2427,0.1495,0.8239,45.6,1.55,41.9,478,0.483,0.018,0.0045,0.4,0.053448275862069,0.997827170219604
53,53.1,803,113,29,367.5,0.0635,29,0.0512,4.9,0.7285,0.2373,0.1197,0.8418,47.9,1.603,36.6,478,0.621,0.017,0.0054,-0.254,0.0552758620689655,0.996377591847895
54,54.017,815,110,29,367.5,0.0676,29,0.0542,4.7,0.734,0.2463,0.117,0.8632,44.5,1.656,33.7,478,0.552,0,0.0051,-0.164,0.0571034482758621,0.997150056413666
55,55.021,830,108,29,367.5,0.0794,29,0.0671,4.9,0.7494,0.2357,0.1428,0.839,44.4,1.702,40.6,478,0.345,0,0.0054,0.316,0.0586896551724138,0.99768463435166
56,56.066,845,107,29,367.5,0.0787,29,0.0561,4.9,0.7203,0.234,0.1416,0.8302,44.6,1.765,41,478,0.724,0.035,0.0067,-0.155,0.0608620689655172,0.996369560520734
57,57.028,859,111,29,367.5,0.0599,29,0.0556,3.5,0.7432,0.2284,0.1219,0.8432,35.9,1.825,33.5,478,0.448,0.017,0.0034,-0.008,0.0629310344827586,0.998387779555788
58,58.015,874,112,29,367.5,0.0651,29,0.0569,3.5,0.7687,0.2239,0.1229,0.8615,42,1.853,33.6,478,0.241,0.052,0.0038,-0.339,0.0638965517241379,0.998294916575626
59,59.037,889,114,29,367.5,0.0744,29,0.0542,3.9,0.7629,0.2379,0.1248,0.8602,40.6,1.888,33.8,478,0.414,0.001,0.0056,-0.407,0.0651034482758621,0.997163279085559
60,60.043,900,113,29,367.5,0.0721,29,0.0564,4.5,0.7514,0.2425,0.1281,0.8525,39.7,1.926,35.5,478,0.517,0.035,0.0046,-0.205,0.0664137931034483,0.997962686980149
61,61.039,910,119,29,367.5,0.0733,29,0.0624,4.4,0.7375,0.2463,0.1207,0.8524,44.8,1.993,34.9,478,0.69,0.017,0.0063,-0.042,0.0687241379310345,0.996299610605559
62,62.013,918,119,31,386.2,0.0646,29,0.0563,3.7,0.7282,0.2434,0.1206,0.8395,51.2,1.926,34.7,574,0.548,0,0.0044,-0.053,0.0621290322580645,0.997677718345469
63,63.04,929,116,31,386.2,0.0681,31,0.0628,5,0.753,0.233,0.1261,0.849,49.2,1.964,34.3,574,0.452,0.017,0.0036,-0.526,0.0633548387096774,0.998601751010498
64,64.072,940,121,31,386.2,0.0641,31,0.0538,2.7,0.7356,0.2366,0.1244,0.8362,47.8,2.009,33.3,574,0.581,0.016,0.0042,-0.133,0.0648064516129032,0.997851084155227
65,65.001,951,124,31,386.2,0.0639,28,0.0529,3.8,0.7329,0.2449,0.1378,0.8321,44.6,2.057,34,574,0.484,0.049,0.0049,0.057,0.0663548387096774,0.997055576382097
66,66.071,963,118,28,424.6,0.071,28,0.0488,4.8,0.7192,0.244,0.118,0.8376,47.7,2.243,34.6,605,0.536,0,0.0042,-0.41,0.0801071428571428,0.998248813826836
67,67.039,975,115,28,424.6,0.0622,28,0.0578,5,0.7085,0.2475,0.1226,0.8204,48.4,2.283,36.2,605,0.429,0.019,0.0035,-0.133,0.0815357142857143,0.9984155829333
68,68.007,986,121,28,424.6,0.0655,28,0.0597,4,0.719,0.2501,0.1143,0.8446,46.3,2.301,32.7,605,0.393,0.018,0.0036,-0.37,0.0821785714285714,0.998488456125804
69,69.004,998,124,28,424.6,0.0683,27,0.0497,3.6,0.7288,0.2538,0.1148,0.8547,49.8,2.335,36.9,605,0.357,0.018,0.0064,-0.328,0.0833928571428571,0.995600077484183
70,70.003,1010,120,27,439.4,0.0603,27,0.0516,5.4,0.7172,0.2454,0.1267,0.8353,47.3,2.44,37.5,591,0.296,0.019,0.0057,0.064,0.0903703703703704,0.995522263743742
71,71.039,1023,113,27,439.4,0.0578,27,0.051,4.1,0.7168,0.2536,0.1278,0.8439,47.7,2.46,37.5,591,0.37,0.019,0.0049,0.291,0.0911111111111111,0.996400112759948
72,72.009,1035,117,27,439.4,0.0683,27,0.0541,5,0.7082,0.2495,0.1212,0.8275,47.1,2.491,37.5,591,0.407,0,0.0054,0.356,0.0922592592592593,0.996869624747884
73,73.01,1047,115,27,439.4,0.0624,27,0.0439,4,0.7063,0.252,0.1107,0.8241,46.2,2.523,34.6,591,0.519,0,0.005,-0.155,0.0934444444444445,0.996784565863122
74,74.012,1059,117,27,439.4,0.0515,27,0.0424,4.7,0.7044,0.2613,0.1086,0.8408,51.6,2.567,34.7,591,0.519,0,0.0049,-0.164,0.0950740740740741,0.995463363910837
75,75.047,1071,117,26,454.3,0.0505,26,0.0538,3.9,0.6863,0.2545,0.1136,0.814,46.7,2.492,34.7,601,0.308,0,0.004,-0.306,0.0958461538461538,0.996858116927277
76,76.005,1083,119,27,438.5,0.0722,26,0.0669,5,0.7076,0.2589,0.113,0.8372,51.4,2.431,34.8,686,0.407,0.001,0.0072,-0.072,0.090037037037037,0.99501523854082
77,77.026,1095,118,27,438.5,0.0666,27,0.058,4.8,0.7056,0.2509,0.1096,0.8384,41.8,2.463,33.7,686,0.37,0,0.0065,0.153,0.0912222222222222,0.995225958736596
