rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.031,16,184,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.033,24,199,1,1.7,0.1234,1,0.1234,8.7,0.4454,0.1445,0.081,0.5473,92.4,0,27.6,2,1,0,0.009,-3.026,0,0.99733680237277
3,3.025,37,223,1,1.7,0,0,0,0,0.4199,0.1309,0.0673,0.4182,45.8,0,12.8,2,0,0,0,-1.523,0,NaN
4,4.06,47,224,2,28,0.1924,1,0.1924,0.3,0.6163,0.244,0.0881,0.7561,44.6,0.075,39.6,150,1,0,0.0061,-0.443,0.0375,0.99949727704334
5,5.041,58,235,6,14.4,0.1547,4,0.0903,17.1,0.7486,0.1782,0.1017,0.8704,49.8,0.141,36.8,142,1,0,0.0198,-1.073,0.0235,0.991775502620561
6,6.041,68,237,9,12.9,0.1781,7,0.076,5.8,0.7359,0.1657,0.0972,0.8247,49.7,0.225,35.3,121,1,0,0.0154,0.322,0.025,0.996254604607916
7,7.046,78,245,15,11.7,0.158,11,0.0637,6.6,0.7924,0.2033,0.1027,0.907,40.8,0.234,35.9,126,1,0,0.0072,0.086,0.0156,0.998961165266189
8,8.045,88,253,22,18.5,0.139,18,0.071,8.1,0.8139,0.2222,0.1167,0.925,50.4,0.278,36.3,102,0.773,0,0.013,-0.033,0.0126363636363636,0.995616914647839
9,9.049,98,254,27,20.1,0.1313,23,0.0499,8.6,0.7927,0.2294,0.1096,0.9435,46.8,0.308,35.4,114,0.741,0.018,0.0124,-0.28,0.0114074074074074,0.995530535001764
10,10.046,108,242,33,36.6,0.1356,29,0.0643,8,0.7792,0.2208,0.1072,0.8945,48.1,0.317,35.4,141,0.727,0,0.0153,-0.16,0.00960606060606061,0.99361409597912
11,11.016,118,260,35,35.4,0.121,33,0.0633,6.3,0.7432,0.2165,0.1047,0.8758,55.4,0.358,37.2,164,0.8,0.001,0.0106,-0.072,0.0102285714285714,0.996155440087298
12,12.015,128,261,39,36.2,0.1207,33,0.0659,8.3,0.7842,0.2361,0.1208,0.9121,45.5,0.406,36.9,171,0.59,0.007,0.0127,0.164,0.0104102564102564,0.994449016163523
13,13.018,138,270,44,34.4,0.1221,40,0.0667,7.6,0.7982,0.2262,0.1165,0.9246,46.9,0.44,36.8,184,0.659,0.012,0.0123,0.315,0.01,0.994913079889436
14,14.02,148,278,47,36,0.1088,40,0.0614,7.4,0.7691,0.2159,0.1046,0.8886,45,0.443,35.4,208,0.681,0.021,0.0099,0.049,0.00942553191489362,0.995851564331366
15,15.016,158,266,47,41.1,0.0988,43,0.0549,7.7,0.7835,0.23,0.1162,0.9012,43.7,0.491,36.7,231,0.787,0.001,0.0097,0.08,0.0104468085106383,0.995168856670676
16,16.022,168,277,47,43,0.1079,45,0.0589,7,0.8112,0.2351,0.1191,0.9289,42.5,0.54,34.2,227,0.723,0.023,0.0089,-0.251,0.0114893617021277,0.996592407068168
17,17.019,178,273,51,41.3,0.1118,47,0.0605,8.1,0.8044,0.2456,0.1122,0.9314,43.5,0.593,35.8,232,0.804,0.01,0.0131,-0.115,0.0116274509803922,0.993111456604044
18,18.022,188,276,53,42.2,0.0946,51,0.0625,6.1,0.7994,0.2297,0.1172,0.9161,46.3,0.652,36.7,240,0.585,0.029,0.0093,-0.165,0.0123018867924528,0.99515597058004
19,19.021,198,282,56,42.9,0.0993,51,0.054,7.6,0.7984,0.2222,0.1168,0.9117,49.2,0.675,37.1,257,0.571,0.024,0.0096,-0.406,0.0120535714285714,0.995315833538316
20,20.018,208,280,52,45.7,0.0952,51,0.0569,5.6,0.8127,0.234,0.1088,0.9409,54,0.726,36.9,251,0.673,0.057,0.0103,-0.112,0.0139615384615385,0.994129878207431
21,21.02,218,286,52,47.6,0.0901,47,0.057,5.5,0.8121,0.2227,0.1085,0.9254,44.4,0.758,34.4,257,0.385,0.001,0.007,0.145,0.0145769230769231,0.996977451091387
22,22.022,228,287,50,49.6,0.0942,47,0.0503,6.3,0.7998,0.222,0.1056,0.9126,43.7,0.723,34.4,297,0.5,0.02,0.0087,0.194,0.01446,0.99572598750886
23,23.024,238,288,51,50,0.0901,48,0.0509,5,0.8123,0.2187,0.103,0.9153,47.7,0.694,33.7,291,0.627,0.03,0.0078,0.039,0.0136078431372549,0.996245728959045
24,24.022,248,291,50,69.4,0.0847,47,0.0584,4.6,0.7977,0.2254,0.1006,0.9153,49.5,0.724,34.6,284,0.44,0.02,0.0087,0.036,0.01448,0.994710778554312
25,25.023,258,293,53,66.9,0.0822,47,0.0553,6.5,0.7954,0.2316,0.1036,0.9134,48.4,0.717,34,317,0.434,0.029,0.0081,0.292,0.0135283018867925,0.99513307634164
26,26.02,268,287,48,72.5,0.0725,45,0.0536,6.6,0.7724,0.2166,0.1026,0.8879,47,0.736,34.3,341,0.625,0.032,0.0083,0.202,0.0153333333333333,0.993425235223364
27,27.024,278,294,48,77.2,0.0781,46,0.0617,4.5,0.7846,0.2194,0.1005,0.8944,49.3,0.756,33.4,389,0.563,0,0.0065,0.312,0.01575,0.996530645609547
28,28.024,288,293,52,74.5,0.0901,47,0.0575,5.5,0.7947,0.2114,0.1006,0.9041,46.1,0.707,33.8,441,0.538,0,0.0077,-0.146,0.0135961538461538,0.99634155085566
29,29.023,298,297,52,75.6,0.0878,47,0.066,5.3,0.7875,0.211,0.1024,0.8957,41.7,0.729,32.5,513,0.635,0.01,0.0076,-0.033,0.0140192307692308,0.996246607674897
30,30.02,308,284,53,74.1,0.0893,51,0.0599,5.8,0.799,0.218,0.1087,0.9085,43.1,0.665,33.7,551,0.604,0,0.0087,0.191,0.0125471698113208,0.99524292709274
