rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.036,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.036,57,32,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.032,64,33,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.105,75,33,6,114,0.2533,3,0.1827,8.2,0.7653,0.1955,0.0965,0.8858,46,0.11,38.4,16,1,0.002,0.0229,-0.52,0.0183333333333333,0.995904935628273
5,5.003,93,36,17,96,0.2258,11,0.0915,14.8,0.7328,0.2003,0.0947,0.8434,37.1,0.191,37.8,17,1,0.001,0.0159,-0.095,0.0112352941176471,0.997517691588029
6,6.003,123,36,20,103,0.2164,19,0.0813,10.7,0.7675,0.1916,0.0954,0.8741,42.1,0.36,35.9,18,0.95,0,0.0103,-0.228,0.018,0.998866618495149
7,7,153,37,22,94.1,0.2364,22,0.0718,9.7,0.7399,0.205,0.0952,0.8644,40.1,0.547,36.5,19,1,0,0.0163,-0.171,0.0248636363636364,0.997620052507868
8,8.004,183,38,26,103.2,0.2296,22,0.0818,8.8,0.7671,0.1903,0.0936,0.8693,43.5,0.679,35.7,19,0.885,0,0.0135,-0.242,0.0261153846153846,0.99826990631256
9,9.004,213,36,27,120,0.2299,26,0.0741,7.8,0.7729,0.1859,0.0949,0.8642,30.9,0.852,33.9,20,0.926,0,0.011,-0.312,0.0315555555555556,0.998854681683931
10,10.005,243,39,28,116,0.2359,25,0.0549,6.9,0.748,0.1803,0.0955,0.8598,45.9,1.032,36.6,22,0.893,0,0.0131,-0.157,0.0368571428571429,0.998456907638496
11,11.007,273,36,25,129.3,0.2258,25,0.0753,9.3,0.7946,0.1965,0.0941,0.9087,47.6,1.262,38.7,22,0.88,0,0.0133,0.108,0.05048,0.998263788660559
12,12.005,303,36,27,163.8,0.2394,24,0.0666,7.7,0.8028,0.2,0.0977,0.8992,33.8,1.379,37.7,23,0.852,0.074,0.0134,-0.16,0.0510740740740741,0.9984322678266
