rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.021,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.288,53,7,1,0.9,0,0,0,0,0.5406,0.2771,0.108,0.7075,83.3,0,40.7,1,1,0,0,-1.762,0,NaN
3,3.023,73,10,1,0.9,0,0,0,0,0.5508,0.3094,0.1072,0.7661,63.7,0.08,51.9,1,1,0,0,-2.806,0.08,NaN
4,4.202,89,10,1,40,0.1943,1,0.1943,7.7,0.68,0.2125,0.1001,0.8074,73,0.123,46.1,6,1,0,0.0182,-1.224,0.123,0.995603339286452
5,5.001,104,15,2,50.3,0.2035,1,0.2035,15,0.4998,0.2898,0.0917,0.7507,44.9,0.169,59.9,7,1,0,0.0229,1.699,0.0845,0.993648246985486
6,6.455,117,12,2,50.3,0.1467,2,0.0373,30.8,0.5593,0.2355,0.0916,0.7779,61.2,0.402,54.5,7,1,0.008,0.0297,-0.993,0.201,0.979291776158769
7,7.237,126,12,2,50.3,0.1213,2,0.0536,51.5,0.5007,0.3706,0.0905,0.7901,43,0.495,53.7,7,0.5,0.034,0.0345,2.251,0.2475,0.95870013469799
8,8.01,130,12,2,50.3,0.1369,2,0.0677,18.8,0.493,0.3009,0.0939,0.7443,85.8,0.517,57.4,7,0,0,0.0285,-0.668,0.2585,0.978090285743759
9,9.001,152,13,4,509.5,0.1141,2,0.0616,20.4,0.5066,0.2903,0.0954,0.7587,81,0.324,55.2,12,0.5,0,0.033,-1.962,0.081,0.957262660788133
10,10.025,183,15,5,420,0.1013,4,0.0693,36.3,0.529,0.3216,0.0959,0.7789,63.8,0.308,55.2,10,0.6,0,0.0388,1.265,0.0616,0.923739746900933
11,11.024,213,16,5,420,0.159,5,0.0963,22,0.578,0.3046,0.0948,0.8257,61.8,0.465,56,10,1,0,0.0431,-0.418,0.093,0.962559867415244
12,12.011,238,14,5,420,0.1352,5,0.0796,17.1,0.5141,0.3359,0.0968,0.7899,49.2,0.6,46.1,10,0.6,0.001,0.041,1.728,0.12,0.95290962106186
13,13.022,255,16,5,420,0.1503,5,0.1077,11.4,0.5379,0.2859,0.0972,0.8134,53.6,0.685,48.4,10,0.4,0.003,0.031,-0.546,0.137,0.978498452816021
14,14.032,280,14,5,420,0.1096,5,0.0769,12,0.5753,0.2649,0.0995,0.776,76.8,0.725,54.4,10,-0.2,0.004,0.0186,1.595,0.145,0.985494385994179
15,15.139,297,15,5,420,0.0814,5,0.0718,34.9,0.4916,0.3254,0.1096,0.7437,60.9,0.782,50,10,0.4,0.009,0.0257,0.204,0.1564,0.948850800039464
16,16.023,309,18,6,421.6,0.1073,5,0.0898,11.2,0.5451,0.2561,0.1004,0.7967,67.2,0.687,52.2,13,0.5,0.001,0.0112,0.151,0.1145,0.99453746285147
17,17.07,318,18,6,421.6,0.1192,6,0.085,18.1,0.5466,0.308,0.0994,0.8025,59.2,0.756,46.9,13,0.5,0.001,0.0253,-0.001,0.126,0.977215764171612
18,18.006,333,19,6,421.6,0.0989,6,0.0753,11.7,0.5423,0.3003,0.0992,0.7777,58.9,0.822,50,13,0.667,0,0.0205,-0.614,0.137,0.978281640462665
19,19.024,350,20,6,421.6,0.1171,6,0.0819,14.6,0.6469,0.2669,0.0961,0.8505,37.8,0.887,54.2,13,0.5,0,0.0136,0.481,0.147833333333333,0.993232847069797
20,20.02,379,22,6,421.6,0.1415,6,0.0847,10,0.5757,0.2451,0.0993,0.7803,58,0.98,49.4,13,0.667,0,0.0186,-1.196,0.163333333333333,0.991322965859166
21,21.024,409,24,7,377.2,0.116,6,0.078,5.6,0.6363,0.2596,0.1029,0.7994,41.9,0.897,46,15,0.571,0,0.0222,0.29,0.128142857142857,0.981516153495162
22,22.024,439,22,8,334.5,0.144,7,0.0854,13.1,0.6758,0.2168,0.101,0.8222,38.7,0.879,47.9,18,0.75,0,0.0157,-0.538,0.109875,0.99403870330729
23,23.025,469,22,8,334.5,0.1112,8,0.0837,9.7,0.6681,0.235,0.0995,0.8237,45.9,0.975,47.6,18,0.625,0.001,0.0156,1.22,0.121875,0.990110772413361
24,24.025,499,23,8,334.5,0.123,8,0.0689,12.2,0.6326,0.242,0.102,0.7902,61.5,1.028,45.4,18,0.25,0,0.0218,0.988,0.1285,0.984168421052393
25,25.024,529,23,8,334.5,0.1288,8,0.0703,24,0.5759,0.302,0.1006,0.8369,65.5,1.074,50,18,0.5,0,0.0319,-0.101,0.13425,0.968844245033934
26,26.027,559,25,8,334.5,0.1333,8,0.0867,13.1,0.602,0.279,0.1013,0.8169,61.2,1.174,48.4,18,0.75,0,0.0124,-0.48,0.14675,0.995663936214309
27,27.022,589,25,8,334.5,0.1242,8,0.0858,16.4,0.625,0.2707,0.0993,0.8528,63,1.259,51.3,18,0.25,0.125,0.0226,-0.436,0.157375,0.983305086977109
28,28.025,619,26,8,334.5,0.1099,8,0.0962,8.9,0.6364,0.2661,0.0981,0.8329,47.2,1.342,51.7,18,0.625,0,0.0088,0.311,0.16775,0.996789018674132
29,29.025,649,27,8,334.5,0.1316,8,0.1008,14,0.6029,0.2658,0.1024,0.7915,54.7,1.419,52.4,18,0.75,0.063,0.0142,-0.437,0.177375,0.994161455528311
30,30.025,679,27,8,334.5,0.1227,8,0.0838,11.4,0.6067,0.2406,0.1034,0.8058,52,1.501,56.1,18,0.75,0,0.0173,-0.278,0.187625,0.990010408414684
31,31.026,709,28,8,334.5,0.1037,8,0.0876,14.5,0.619,0.2824,0.0998,0.8414,61.3,1.572,53.3,18,0.75,0.064,0.0239,0.755,0.1965,0.973078834917821
32,32.026,739,29,9,356,0.1141,9,0.0724,15.4,0.5901,0.2671,0.0972,0.8206,66.6,1.499,51.4,20,1,0,0.0227,-0.738,0.166555555555556,0.980009988479194
33,33.025,769,27,9,356,0.1165,9,0.0642,14.5,0.6655,0.2529,0.0972,0.8363,66.8,1.607,48.1,20,0.778,0,0.0156,-0.615,0.178555555555556,0.990994094738097
34,34.021,799,29,9,356,0.1078,9,0.0672,11.3,0.6477,0.2839,0.0987,0.8441,64.4,1.678,47.5,20,0.444,0,0.0225,0.616,0.186444444444444,0.97797547185892
35,35.026,829,29,9,356,0.0904,9,0.0579,14.7,0.616,0.2847,0.1025,0.8165,59.5,1.723,44.1,20,0.556,0,0.0182,-0.487,0.191444444444444,0.979523998924291
36,36.026,859,30,9,356,0.0976,9,0.0638,16.2,0.6265,0.2512,0.1015,0.8093,71.5,1.783,49.3,20,0.333,0,0.0143,0.534,0.198111111111111,0.989208242208164
37,37.028,889,26,10,321,0.1094,10,0.0661,13.1,0.7244,0.2276,0.1018,0.8398,42.8,1.678,42.1,26,0.6,0.05,0.0128,0.498,0.1678,0.993131699327297
38,38.025,919,27,10,321,0.1191,10,0.064,6.3,0.7013,0.2145,0.102,0.8416,56.8,1.746,41.7,26,0.6,0.101,0.0104,0.088,0.1746,0.996180175433799
