rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.03,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.006,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.047,66,19,1,16.5,0,0,0,0,0.2108,0.1768,0.1471,0.2472,13.8,0,12.9,18,0,0,0,-0.091,0,NaN
4,4.037,72,19,2,11.6,0.0138,2,0.0041,9,0.346,0.1963,0.1671,0.3407,47.4,-0.011,22.1,24,0,0,0.0119,0.018,-0.0055,0.506365695107068
5,5.029,82,21,2,11.6,0.0056,2,0.0015,2.7,0.3536,0.1904,0.158,0.3947,38.7,-0.011,13.6,24,0,0,0.0035,0.565,-0.0055,0.7806247497998
6,6.039,91,23,4,175.7,0.0864,3,0.1472,11.2,0.4841,0.2282,0.1185,0.6095,39.7,0.039,28.3,22,0,0.25,0.0206,0.18,0.00975,0.971160685904431
7,7.031,100,21,6,295.8,0.1427,6,0.1225,13.7,0.5029,0.2318,0.1079,0.6369,40.9,0.15,31.6,21,0.667,0,0.0251,-0.853,0.025,0.98440920490289
8,8,109,23,7,254.8,0.1529,6,0.1116,22.3,0.5433,0.2259,0.0981,0.6771,68.1,0.256,40.9,21,0.857,0,0.0348,0.052,0.0365714285714286,0.973754773587427
9,9.032,125,23,9,218.1,0.149,8,0.1137,11.1,0.5393,0.2548,0.0897,0.7266,72,0.337,48.6,21,0.556,0,0.0312,-1.61,0.0374444444444444,0.977830929367003
10,10.044,130,23,10,196.8,0.1715,8,0.1057,19.1,0.5109,0.2259,0.0971,0.6688,73,0.419,45,19,0.5,0.005,0.0368,-0.204,0.0419,0.976707018361241
11,11.142,150,22,9,217.9,0.1265,9,0.1145,20.5,0.5283,0.2535,0.1026,0.7294,67.8,0.579,42.6,18,0.667,0.112,0.028,0.26,0.0643333333333333,0.975195821184721
12,12.025,165,23,11,184.5,0.1505,10,0.0921,19.5,0.5496,0.2392,0.1148,0.7104,72.7,0.563,43.7,20,0.727,0.001,0.0317,-1.184,0.0511818181818182,0.977565591288166
13,13.055,185,23,12,182.5,0.1279,12,0.0833,16.1,0.5623,0.2577,0.1037,0.737,64.1,0.623,46.6,22,0.417,0,0.0272,0.381,0.0519166666666667,0.977124920667567
