rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.063,17,128,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.066,32,138,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3,45,141,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.014,50,141,7,134.6,0,0,0,0,0.6875,0.1787,0.096,0.7617,41.1,0,34.8,50,1,0,0,-0.188,0,NaN
5,5.059,60,146,13,95.1,0.1658,11,0.0714,6.4,0.6348,0.1912,0.0992,0.7507,47.1,0.145,33.3,46,0.923,0,0.0164,0.31,0.0111538461538462,0.995095950371285
6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,6.63,67,147,23,65.1,0.149,15,0.0588,5.6,0.7238,0.1823,0.1075,0.8288,51,0.217,36.1,70,0.87,0,0.0117,-0.045,0.00943478260869565,0.996912263706671
8,8.018,81,171,28,60.3,0.1492,26,0.0628,8,0.7339,0.1742,0.1038,0.8172,43.2,0.348,31.8,74,0.929,0,0.0092,-0.306,0.0124285714285714,0.998097076085055
9,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,9.531,92,169,34,61.8,0.1414,31,0.0657,10.3,0.7256,0.1891,0.1036,0.8187,45.5,0.475,33.3,82,0.941,0.004,0.0087,-0.255,0.0139705882352941,0.998105383582182
11,11.069,104,173,39,71.2,0.1357,35,0.0662,8.1,0.7136,0.1998,0.1062,0.8114,43.3,0.571,33.6,85,0.769,0,0.0109,-0.038,0.0146410256410256,0.996768787492982
12,12.037,113,180,42,95.9,0.1123,38,0.0699,6.8,0.721,0.1968,0.111,0.8233,42.4,0.554,35.5,98,0.69,0.002,0.0089,-0.097,0.0131904761904762,0.996854613236768
13,13.09,122,182,44,105.7,0.1072,41,0.0656,10.2,0.699,0.2014,0.1057,0.8092,46.1,0.599,36,105,0.75,0,0.0102,0.025,0.0136136363636364,0.995463017652775
14,14.024,132,191,48,97.3,0.0905,45,0.0644,7.2,0.6885,0.2178,0.1106,0.8041,47.1,0.625,33.5,122,0.646,0.001,0.008,-0.333,0.0130208333333333,0.996085252733594
15,15.028,143,187,45,104.6,0.0933,44,0.0671,7.2,0.7016,0.2144,0.11,0.81,46.7,0.688,34.5,110,0.578,0.033,0.0081,-0.19,0.0152888888888889,0.996224300588867
16,16.074,155,191,47,101.1,0.0962,47,0.0662,6.9,0.7103,0.2035,0.1073,0.8122,48.2,0.723,35.1,115,0.553,0,0.0085,-0.122,0.0153829787234043,0.996088819623848
17,17.045,166,193,49,99.2,0.0877,47,0.0672,6.4,0.6975,0.2129,0.1102,0.8074,51.7,0.754,33.7,120,0.51,0.01,0.0079,0.441,0.0153877551020408,0.995934549289451
18,18.042,181,192,50,101.6,0.0953,47,0.0656,6.4,0.7034,0.2168,0.1079,0.8062,45.9,0.688,34.1,128,0.4,0.03,0.0072,0.427,0.01376,0.997141947131929
19,19.047,196,195,52,100,0.0817,49,0.0657,6.6,0.691,0.2163,0.1063,0.8029,46.8,0.707,33.9,133,0.5,0.01,0.0074,-0.08,0.0135961538461538,0.995889612098958
20,20.041,211,200,52,100.5,0.0931,50,0.0622,6,0.6945,0.2141,0.106,0.8046,50,0.715,33.5,141,0.423,0.029,0.0095,-0.338,0.01375,0.994780212812567
21,21.044,226,200,53,98.7,0.0864,51,0.06,6.7,0.6795,0.2248,0.1094,0.7974,49.2,0.745,35,146,0.472,0.029,0.0078,-0.413,0.0140566037735849,0.995916624441778
22,22.046,238,200,55,105.6,0.0749,52,0.0607,6,0.6744,0.2202,0.1069,0.7978,48.9,0.755,36.5,156,0.364,0.01,0.0094,-0.033,0.0137272727272727,0.99209353512802
23,23.041,253,200,55,128.8,0.0797,52,0.0606,8,0.6742,0.202,0.1055,0.7797,50.5,0.782,34,153,0.4,0.03,0.0081,0.245,0.0142181818181818,0.994822153010696
24,24.044,267,207,55,129.6,0.0822,53,0.0649,7,0.6685,0.1996,0.1059,0.7738,52.4,0.797,33,167,0.509,0.01,0.0093,0.105,0.0144909090909091,0.993579205549544
25,25.011,281,199,54,134.6,0.0782,53,0.0559,6.3,0.689,0.1983,0.1096,0.7793,50.1,0.836,34.2,178,0.463,0,0.0092,0.035,0.0154814814814815,0.993055471537302
26,26.01,294,203,58,127.4,0.0771,54,0.0628,5.8,0.6836,0.2024,0.1074,0.7799,49,0.829,33.5,190,0.534,0.018,0.0076,0.155,0.0142931034482759,0.995129794641712
27,27.012,308,203,58,127.4,0.0839,53,0.0734,6.6,0.6802,0.2052,0.1105,0.7795,45.8,0.859,33.7,190,0.483,0.035,0.0084,0.17,0.0148103448275862,0.994975450898964
28,28.005,321,197,59,132.6,0.0814,56,0.0635,6.8,0.6677,0.2081,0.1082,0.7769,45.9,0.77,32.2,216,0.441,0.026,0.0085,-0.368,0.0130508474576271,0.994533015885144
29,29.01,335,200,56,139.5,0.0911,53,0.0647,6.1,0.6856,0.2125,0.1096,0.7919,47.1,0.847,33.6,200,0.411,0,0.0085,-0.023,0.015125,0.995637661055985
30,30.016,347,193,56,175.3,0.0786,53,0.065,5.3,0.6956,0.2117,0.1123,0.7914,49,0.847,35.9,209,0.625,0,0.0078,0.163,0.015125,0.995063861789333
31,31.008,362,200,58,170,0.0824,57,0.0665,8.3,0.6788,0.2116,0.1061,0.7889,50.4,0.887,32.2,218,0.534,0.009,0.0078,0.185,0.0152931034482759,0.995509642162645
32,32.008,377,202,63,158.6,0.0715,61,0.0681,5.1,0.6826,0.2026,0.1124,0.7722,47.8,0.864,32.5,245,0.365,0.003,0.0053,-0.314,0.0137142857142857,0.997248893097944
33,33.037,391,207,63,159.1,0.0739,62,0.0666,6.6,0.6821,0.2054,0.1057,0.7839,50,0.911,31.4,234,0.429,0.008,0.0055,-0.188,0.0144603174603175,0.99722662142642
34,34.032,401,199,66,152.7,0.0696,63,0.0562,5.3,0.6863,0.1981,0.108,0.7729,47.6,0.91,30.8,258,0.288,0.023,0.0066,-0.097,0.0137878787878788,0.995493711127385
35,35.032,411,209,66,152.5,0.069,65,0.0612,5.6,0.672,0.201,0.1064,0.7683,47.9,0.907,31.5,260,0.394,0.002,0.0078,0.019,0.0137424242424242,0.993590042232049
36,36.004,423,214,67,151.2,0.0727,66,0.0595,6.1,0.6753,0.199,0.1054,0.7696,49.1,0.927,31.2,272,0.418,0.03,0.0068,-0.084,0.0138358208955224,0.995615985017576
37,37.048,438,219,68,162.4,0.0722,68,0.0568,6,0.6676,0.2021,0.1068,0.766,45.9,0.96,31.9,273,0.368,0.022,0.0069,-0.003,0.0141176470588235,0.995422916548633
38,38.055,452,218,67,164.5,0.0684,67,0.0572,7,0.6805,0.1994,0.1047,0.773,44.8,0.993,32.1,274,0.328,0.022,0.0072,-0.01,0.0148208955223881,0.994444401457431
39,39.009,464,227,66,166.6,0.0662,65,0.0612,4.2,0.6802,0.1964,0.1079,0.7662,51,0.993,32.4,273,0.379,0.016,0.0063,0.102,0.0150454545454545,0.995461401257141
40,40.048,476,225,67,178.1,0.0694,65,0.0599,5.9,0.6596,0.2029,0.1118,0.7562,54.3,1.009,33.5,282,0.343,0.023,0.0066,0.002,0.0150597014925373,0.995467641644475
41,41.047,488,218,66,180.7,0.0651,66,0.0584,5.8,0.6609,0.2076,0.1078,0.7646,59,1.041,33.7,272,0.227,0,0.0058,0.12,0.0157727272727273,0.996023248857416
42,42.046,503,220,67,178.8,0.0563,66,0.0546,5.4,0.6634,0.2198,0.1083,0.7767,59.7,1.057,33.9,271,0.239,0.007,0.0058,0.148,0.0157761194029851,0.99467933262508
43,43.017,516,226,67,178.8,0.062,67,0.0515,6.1,0.6571,0.2164,0.1124,0.7672,61.2,1.09,34.6,271,0.313,0.008,0.0066,-0.079,0.0162686567164179,0.994317883833084
44,44.079,531,231,67,179,0.0517,65,0.0482,6.1,0.652,0.2113,0.1121,0.7745,58.2,1.11,32.9,281,0.343,0.015,0.006,-0.403,0.0165671641791045,0.993242886845881
45,45.018,542,229,65,183.9,0.0458,65,0.0502,3.7,0.6575,0.2066,0.1056,0.7765,55.5,1.122,33.3,275,0.323,0.038,0.0045,-0.116,0.0172615384615385,0.995161441139236
46,46.051,555,228,65,183.9,0.0499,64,0.049,6,0.6465,0.2213,0.1073,0.7733,56.5,1.151,33.2,275,0.231,0.018,0.0055,-0.267,0.0177076923076923,0.993907165892182
