rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.007,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.006,60,21,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.004,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.008,120,22,1,53,0,0,0,0,0.5338,0.2703,0.0992,0.7376,50.1,0.057,43.9,1,1,0,0,2.629,0.057,NaN
5,5.053,139,24,5,200.6,0.147,2,0.0304,10.7,0.6055,0.2458,0.0882,0.7814,47.8,0.077,45,10,0.6,0.001,0.0271,-0.297,0.0154,0.982859958486561
6,6.057,154,24,6,176.3,0.1145,6,0.0777,19.2,0.5839,0.276,0.0928,0.7756,43.6,0.174,44.9,10,0.667,0,0.0214,1.489,0.029,0.982379027275751
7,7.066,167,28,6,176.3,0.1374,6,0.0789,26.2,0.559,0.2465,0.094,0.768,57.3,0.215,48.9,10,0.333,0.087,0.0293,0.446,0.0358333333333333,0.976998538753056
8,8.063,182,28,6,176.3,0.1237,6,0.0698,11.5,0.5454,0.2898,0.1001,0.7711,73.6,0.301,47,10,0.667,0,0.0193,-0.371,0.0501666666666667,0.987753479994004
9,9.063,197,30,8,191.6,0.1236,8,0.0692,23.1,0.5997,0.2803,0.0992,0.8031,61.1,0.34,50.5,11,0.875,0.003,0.0257,-1.098,0.0425,0.978143963358107
10,10.066,212,32,8,191.6,0.1082,8,0.0895,24.5,0.6441,0.2599,0.097,0.8446,40.6,0.45,50.3,11,0.625,0.003,0.023,-0.014,0.05625,0.977145990044842
11,11.135,225,31,9,269.7,0.1209,8,0.0877,17.3,0.6862,0.2304,0.0974,0.8121,44,0.506,46.1,12,0.889,0,0.011,-0.501,0.0562222222222222,0.995852328394164
12,12.044,238,32,9,269.7,0.1492,9,0.0809,12.3,0.6324,0.2348,0.104,0.8059,73.8,0.623,46.6,12,0.778,0,0.0189,0.473,0.0692222222222222,0.991944197800244
13,13.047,252,32,10,251.9,0.1311,10,0.0728,21.7,0.5534,0.264,0.1103,0.7725,74.8,0.657,52.3,14,0.4,0.003,0.0225,0.009,0.0657,0.985162401616382
14,14.058,266,33,10,251.9,0.1154,10,0.0769,26,0.559,0.289,0.1085,0.7782,56.7,0.731,48.2,14,0.6,0.001,0.0211,0.868,0.0731,0.983142257168549
