rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.016,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.017,59,38,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.019,81,48,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.016,111,54,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
5,5.021,141,59,2,22.5,0.1898,1,0.1898,12.3,0.6826,0.2329,0.118,0.8166,62,0.043,37.3,35,1,0.004,0.0082,-0.885,0.0215,0.999066298425875
6,6.021,171,67,3,16.9,0.1129,3,0.1197,4.6,0.6352,0.2312,0.1173,0.7553,35.2,0.146,43.8,29,0.667,0,0.0156,-0.858,0.0486666666666667,0.990407777304808
7,7.022,201,67,3,16.9,0.1128,3,0.1132,13.1,0.6449,0.2675,0.1158,0.7916,34.3,0.224,43.9,29,0.667,0,0.0117,-0.196,0.0746666666666667,0.994606181063484
8,8.023,231,72,5,68.6,0.1224,3,0.0965,8.7,0.5049,0.2618,0.1118,0.6845,71.9,0.212,51.5,28,0.8,0,0.0249,-0.116,0.0424,0.979089207714405
9,9.024,257,74,9,90,0.1008,6,0.0631,24.9,0.5015,0.245,0.1053,0.6718,83.1,0.188,46.5,32,0.667,0,0.0229,-0.702,0.0208888888888889,0.973852192924261
10,10.029,285,77,9,90,0.0768,9,0.0594,19.3,0.4939,0.2214,0.1028,0.6628,89.4,0.272,50.9,32,0.556,0.001,0.0137,-0.711,0.0302222222222222,0.983960691857485
11,11.025,307,81,9,90,0.0736,8,0.0604,14.6,0.4885,0.2189,0.1022,0.6436,80.7,0.306,48.5,32,0.222,0,0.0088,-0.291,0.034,0.992826348759022
12,12.024,325,77,8,100.5,0.0814,8,0.0573,4.7,0.4488,0.2284,0.132,0.5551,88,0.329,43.6,34,0.5,0,0.0149,0.272,0.041125,0.983104222260085
13,13.058,349,80,9,110,0.1039,8,0.0728,23.8,0.4741,0.2168,0.1288,0.58,59.3,0.355,40.1,32,0.667,0.004,0.0217,0.755,0.0394444444444444,0.977946689587687
14,14.081,369,83,11,91.7,0.1031,10,0.0555,20.4,0.5054,0.244,0.1086,0.6755,78.4,0.355,48.9,38,0.636,0,0.021,-0.128,0.0322727272727273,0.97903632134191
15,15.028,385,84,12,85.6,0.0907,11,0.0614,19.1,0.4855,0.2364,0.1032,0.659,69.7,0.361,47.6,44,0.75,0.001,0.0239,-0.131,0.0300833333333333,0.964657739440844
16,16.023,400,87,12,85.6,0.0968,12,0.069,20.5,0.4902,0.2202,0.1052,0.628,58.8,0.435,48,44,0.583,0,0.0165,-0.115,0.03625,0.985365540261016
17,17.03,416,92,16,139.5,0.0999,14,0.0709,15.4,0.4979,0.2153,0.1079,0.6322,61.3,0.399,44,68,0.75,0.001,0.0193,-0.573,0.0249375,0.981160736120141
18,18.065,432,88,16,139.5,0.1067,16,0.0684,13.6,0.493,0.2246,0.1051,0.6493,69.9,0.496,43.2,68,0.688,0.013,0.0195,-0.083,0.031,0.983158414403823
19,19.056,447,90,17,132.3,0.1025,17,0.0701,18.8,0.4879,0.2425,0.1058,0.645,66.3,0.52,41.1,67,0.353,0,0.0241,1.585,0.0305882352941176,0.971965878030052
20,20.028,462,88,18,127.9,0.1073,17,0.0644,14.9,0.5394,0.2291,0.1075,0.6841,63.4,0.554,44.3,72,0.667,0,0.0204,-0.034,0.0307777777777778,0.981760635887751
21,21.03,478,91,20,136.8,0.1099,17,0.0605,18.2,0.5381,0.245,0.1063,0.6886,52.7,0.581,42.2,95,0.9,0.001,0.0216,0.477,0.02905,0.980495344155856
22,22.028,494,93,20,140.1,0.1045,18,0.0523,15.7,0.5372,0.2169,0.1105,0.6566,51.2,0.67,39.1,100,0.8,0,0.0173,-0.344,0.0335,0.986201357882566
23,23.028,509,94,21,134.1,0.0859,19,0.0447,11.2,0.5572,0.2165,0.1116,0.6576,46.8,0.693,41.2,105,0.619,0.051,0.0139,-0.464,0.033,0.986820936667718
24,24.017,524,95,21,134.4,0.1017,20,0.0626,18,0.529,0.2091,0.1065,0.6316,46.8,0.618,38,121,0.19,0.001,0.0187,0.115,0.0294285714285714,0.982949795654218
25,25.063,541,95,25,126.1,0.0903,21,0.046,21.9,0.494,0.2156,0.1044,0.6105,52.9,0.545,39.3,154,0.12,0.06,0.0212,0.186,0.0218,0.972050229335246
26,26.085,556,98,26,121,0.0995,25,0.0566,17,0.5122,0.2329,0.1042,0.6459,62.3,0.455,43.2,177,0.385,0.006,0.0198,0.475,0.0175,0.980000510191065
