rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.014,26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.016,44,89,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.018,59,107,1,20.5,0,0,0,0,0.6358,0.3111,0.0884,0.8242,18.8,0,44.7,48,1,0,0,1.721,0,NaN
4,4.024,70,117,4,14.8,0.2628,1,0.2628,8.5,0.7293,0.2797,0.0994,0.923,46.8,0.063,51.9,21,0.5,0,0.0281,0.246,0.01575,0.994267044039875
5,5.019,85,123,7,18.9,0.2193,5,0.1139,12,0.7298,0.2924,0.1002,0.9312,56.3,0.129,44,25,0.571,0.002,0.0258,-0.507,0.0184285714285714,0.993055471537302
6,6.027,100,129,10,15.1,0.1855,7,0.1108,7.1,0.6994,0.2431,0.0995,0.8495,46.8,0.19,43.9,40,0.6,0.001,0.0233,0.946,0.019,0.992080145424086
7,7.029,115,138,13,13.5,0.1513,12,0.0867,14,0.6367,0.253,0.0968,0.8253,65.2,0.235,48.1,51,0.462,0.038,0.0223,0.486,0.0180769230769231,0.98907855925056
8,8.029,130,146,15,19.5,0.1425,13,0.0868,18.2,0.6289,0.2916,0.1059,0.8459,46.1,0.298,44.8,61,0.533,0,0.0262,0.299,0.0198666666666667,0.982952506189612
9,9.029,145,141,19,24.9,0.1468,18,0.0723,20,0.6178,0.2706,0.1044,0.8347,70,0.359,48.7,73,0.895,0.001,0.0352,-0.203,0.0188947368421053,0.970826753152032
10,10.028,160,143,22,22.8,0.1227,21,0.0633,25.6,0.6199,0.263,0.106,0.8038,59.7,0.422,46.2,77,0.682,0,0.0257,-0.319,0.0191818181818182,0.977818511629679
11,11.032,175,146,23,24.2,0.1227,22,0.0701,24.5,0.5942,0.2656,0.1089,0.79,64.1,0.457,45.2,82,0.696,0,0.0222,0.067,0.0198695652173913,0.983496142572097
12,12.025,190,146,25,27.8,0.1089,21,0.0808,17.3,0.6072,0.2735,0.1164,0.7916,61.6,0.386,43.7,94,0.48,0.003,0.0241,0.104,0.01544,0.975204882239815
13,13.033,205,155,28,29.2,0.1018,24,0.0801,9,0.6458,0.2802,0.1159,0.8465,61.6,0.361,46.8,86,0.679,0,0.0162,-0.041,0.0128928571428571,0.987256741465207
14,14.031,220,164,26,30.9,0.112,26,0.0698,11.9,0.6493,0.247,0.1172,0.8351,64.3,0.464,46,84,0.462,0.001,0.0191,-0.612,0.0178461538461538,0.985351495737973
15,15.032,235,153,30,31.8,0.1078,27,0.0613,17.8,0.6282,0.2746,0.1152,0.8376,64.5,0.469,46.2,88,0.533,0.001,0.0174,0.153,0.0156333333333333,0.98688743325202
16,16.029,250,149,32,31.3,0.1047,29,0.0608,17.4,0.6368,0.2883,0.1175,0.8416,57.5,0.454,44.8,92,0.344,0.016,0.016,0.439,0.0141875,0.988254415153473
17,17.03,265,154,32,31.9,0.0998,31,0.0603,12.2,0.6384,0.2751,0.1154,0.8326,65.4,0.487,42.2,101,0.563,0.002,0.017,-0.021,0.01521875,0.98538523039108
18,18.029,280,144,35,32.3,0.1115,28,0.0647,10.4,0.6234,0.2735,0.1249,0.8064,60.7,0.509,44.9,129,0.571,0.015,0.0209,-0.441,0.0145428571428571,0.982275301042097
19,19.028,295,150,29,37.5,0.1217,28,0.0693,17.6,0.6344,0.2862,0.112,0.852,69,0.585,49.1,121,0.552,0.002,0.0231,0.5,0.0201724137931034,0.98182064564964
20,20.033,310,153,30,40.4,0.1028,28,0.0572,17.7,0.5936,0.2884,0.1088,0.8305,69,0.585,49,129,0.667,0,0.026,-0.463,0.0195,0.967487643138992
21,21.033,325,153,34,38.7,0.1046,31,0.0535,19.4,0.5888,0.3033,0.1088,0.8351,69.3,0.586,51,165,0.618,0,0.0239,-0.539,0.0172352941176471,0.973546380927355
22,22.03,340,149,34,39.5,0.0957,33,0.066,20,0.6014,0.3222,0.1185,0.8415,70,0.672,49.3,169,0.588,0.014,0.0234,0.838,0.0197647058823529,0.96964573514345
23,23.034,355,165,34,39.6,0.0869,31,0.0533,23.3,0.5727,0.3133,0.1183,0.8164,74.4,0.724,48.7,166,0.294,0.001,0.0237,-0.03,0.0212941176470588,0.962091385841669
24,24.032,370,157,38,36.5,0.0977,35,0.0592,18,0.5993,0.3179,0.1124,0.8519,73.6,0.555,52.6,219,0.421,0.024,0.0247,0.012,0.0146052631578947,0.967514706733657
25,25.033,385,168,40,35.6,0.0981,39,0.0591,23.2,0.5832,0.3089,0.1229,0.8295,71.7,0.588,50.2,233,0.6,0.026,0.0234,0.04,0.0147,0.971134610883157
26,26.031,400,168,44,35.4,0.0959,42,0.0624,16.9,0.6046,0.2993,0.1316,0.8096,73.2,0.597,46.7,250,0.545,0,0.0232,0.313,0.0135681818181818,0.970296531680351
27,27.035,415,169,48,33,0.0975,41,0.0665,13.6,0.5957,0.2874,0.1291,0.7923,69.7,0.61,48.8,279,0.563,0.009,0.0202,0.161,0.0127083333333333,0.97830294903575
28,28.034,430,164,46,34.5,0.09,41,0.055,18.6,0.5984,0.2746,0.1256,0.8033,65.2,0.623,45.8,284,0.391,0.022,0.0175,-0.012,0.0135434782608696,0.980913532389421
29,29.035,445,158,43,36.2,0.0973,42,0.0655,15.1,0.575,0.2745,0.1241,0.7827,72.9,0.682,48.2,296,0.395,0.012,0.0201,0.125,0.0158604651162791,0.978430220923503
30,30.038,460,158,47,39,0.1031,43,0.0696,18.1,0.5849,0.286,0.1166,0.8022,73.5,0.655,47.5,310,0.404,0.004,0.0209,-0.202,0.013936170212766,0.979237611828355
31,31.033,475,163,50,37.4,0.1043,48,0.0658,18.7,0.5853,0.2705,0.1176,0.7797,61.5,0.677,44.7,335,0.54,0.013,0.0192,-0.346,0.01354,0.982910445556437
32,32.039,490,159,46,40.4,0.0951,43,0.0644,16.1,0.5913,0.2622,0.1193,0.78,66.4,0.719,46.7,340,0.348,0.022,0.0205,-0.025,0.0156304347826087,0.976490030804249
