rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.022,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.179,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.025,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.027,93,48,2,149,0.1649,1,0.1649,8.6,0.5245,0.2117,0.0739,0.6566,55,0.093,43,8,1,0,0.0017,-1.493,0.0465,0.999946857977908
5,5.027,123,51,3,99.7,0.1532,2,0.0189,42.1,0.4097,0.225,0.0724,0.5767,93.5,0.162,43.3,20,1,0,0.0286,1.276,0.054,0.982420000228091
6,6.024,153,58,5,117.1,0.1203,4,0.1014,21.8,0.5161,0.2285,0.0851,0.6668,65.1,0.183,46.7,19,0.8,0,0.0216,-1.167,0.0366,0.983748643972987
7,7.027,183,62,6,116.7,0.126,6,0.083,24.7,0.5301,0.2318,0.089,0.6868,65.9,0.264,44.9,17,0.833,0,0.0347,-0.786,0.044,0.961330634361223
8,8.029,213,71,7,104.5,0.1419,6,0.0904,13.3,0.4741,0.2477,0.0858,0.6653,62.8,0.282,49.8,20,0.286,0.001,0.0281,-0.1,0.0402857142857143,0.980196610191904
9,9.029,241,68,8,104,0.1437,8,0.0765,14.6,0.5072,0.2406,0.0924,0.6913,60.1,0.246,44.2,27,0.75,0,0.0181,0.175,0.03075,0.992035720521105
10,10.029,271,71,8,104,0.1436,8,0.081,23.6,0.527,0.2246,0.0987,0.6806,59.7,0.399,39.6,27,0.75,0.001,0.023,0.939,0.049875,0.987089909873009
11,11.031,299,72,11,94.6,0.1221,10,0.07,18.4,0.506,0.2103,0.0924,0.6584,75.8,0.392,43.3,44,0.727,0,0.0233,-0.885,0.0356363636363636,0.981623646435335
12,12.029,327,77,14,80.3,0.1319,13,0.0552,25.3,0.5338,0.2263,0.0966,0.6774,77.9,0.39,46.1,58,0.643,0,0.0201,-0.047,0.0278571428571429,0.98832071959103
13,13.033,353,81,15,81.5,0.1163,14,0.0741,16.5,0.523,0.2402,0.0943,0.6735,72.4,0.435,42,58,0.4,0.033,0.0183,0.016,0.029,0.987542631910272
14,14.033,375,77,16,84.5,0.1066,16,0.0654,15.5,0.4947,0.208,0.1063,0.6301,82.1,0.487,43.8,60,0.563,0.002,0.0205,-0.391,0.0304375,0.981334678628698
15,15.031,398,78,17,95,0.1332,16,0.0545,20.4,0.4871,0.1977,0.0949,0.6131,67.6,0.502,38.4,64,0.588,0,0.023,-0.287,0.0295294117647059,0.984979262782763
16,16.034,422,80,20,92.9,0.1442,18,0.0693,26.8,0.5133,0.2213,0.0895,0.6444,56.6,0.489,38.9,80,0.35,0.003,0.0239,0.069,0.02445,0.986169144295436
17,17.031,445,83,19,97.5,0.112,19,0.0622,14.4,0.4923,0.2175,0.0874,0.635,68.9,0.573,43.3,79,0.421,0,0.0168,-0.543,0.0301578947368421,0.988685996664259
