rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.001,58,45,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.001,88,42,1,7.1,0,0,0,0,0.7582,0.2686,0.1034,0.859,34.2,0.091,29.2,30,1,0,0,-1.542,0.091,NaN
4,4.367,114,46,14,217.5,0.2428,9,0.0932,11.4,0.7983,0.195,0.1121,0.8792,32.5,0.071,32.6,27,0.643,0,0.0175,0.098,0.00507142857142857,0.997399158597835
5,5.035,129,47,16,337.1,0.2222,13,0.0805,6,0.7758,0.1651,0.1007,0.8635,40.3,0.156,31.6,26,0.625,0.001,0.0154,-0.266,0.00975,0.997595383588911
6,6.012,148,45,21,355.6,0.2031,19,0.0679,7.7,0.8081,0.1723,0.1008,0.8753,35.8,0.241,29.7,23,0.81,0,0.0132,-0.432,0.0114761904761905,0.997885744994698
7,7.023,168,47,24,313,0.2148,23,0.0827,8.1,0.822,0.1641,0.1007,0.8843,33.6,0.378,28.6,24,0.833,0,0.0126,0.154,0.01575,0.998278065549899
8,8.004,192,45,23,326.5,0.1673,23,0.0932,11.2,0.7728,0.2016,0.101,0.8702,31.8,0.531,29.3,24,0.826,0,0.0144,-0.341,0.0230869565217391,0.996288839616632
9,9.005,222,45,26,294.4,0.1786,23,0.0855,8.9,0.7946,0.1973,0.1031,0.8788,35.1,0.604,30.5,27,0.769,0,0.013,-0.386,0.0232307692307692,0.997347409653155
10,10.001,251,45,26,385.5,0.1634,25,0.0737,5.7,0.7728,0.186,0.1013,0.8604,43.4,0.662,31.6,30,0.846,0,0.0112,-0.078,0.0254615384615385,0.997648131976188
11,11.002,281,49,27,373.8,0.1721,27,0.0652,12,0.7804,0.1997,0.1025,0.8647,36.7,0.792,31.8,32,0.889,0,0.013,-0.029,0.0293333333333333,0.99714296336364
12,12.003,311,50,29,349.7,0.1526,28,0.0689,4.6,0.7791,0.1847,0.1041,0.8607,41.7,0.893,32.4,34,0.828,0.017,0.0083,0.026,0.0307931034482759,0.998519737709323
13,13.003,341,51,30,338.1,0.14,29,0.0797,6.1,0.771,0.1738,0.1082,0.8406,40.7,0.981,32.3,35,0.767,0.015,0.0071,0.392,0.0327,0.998713202688585
14,14.003,371,53,34,336.5,0.1447,32,0.0796,9.1,0.7762,0.1995,0.1055,0.8721,43.2,0.972,32.1,37,0.706,0,0.0088,0.264,0.0285882352941176,0.998149025624623
15,15,400,53,34,336.5,0.1397,34,0.0802,6,0.7653,0.1903,0.105,0.8627,42.9,1.083,33.2,37,0.676,0,0.0081,0.218,0.0318529411764706,0.99831766415584
16,16.002,430,52,34,342.5,0.1346,34,0.0827,5.2,0.7689,0.185,0.1037,0.8503,39.4,1.194,32.5,41,0.647,0,0.0072,0.167,0.0351176470588235,0.998568287287357
17,17.002,460,53,35,332.7,0.1626,35,0.0749,5.8,0.7716,0.1843,0.1019,0.8502,40.9,1.287,32.2,43,0.829,0,0.0098,-0.079,0.0367714285714286,0.998182074798707
