rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.042,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.009,48,75,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.213,69,77,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.016,82,82,3,10.1,0,0,0,0,0.7123,0.306,0.0956,0.9518,57.4,0.056,52,25,1,0,0,0.115,0.0186666666666667,NaN
5,5.028,97,92,5,44.8,0.1513,3,0.1128,26.9,0.6086,0.3053,0.093,0.8536,72,0.179,49.4,31,1,0,0.0445,0.778,0.0358,0.955769224074819
6,6.021,113,94,8,34.6,0.154,6,0.0766,25.6,0.5882,0.3328,0.0997,0.8349,48.3,0.196,51.5,33,1,0.001,0.0394,-0.642,0.0245,0.966718039513276
7,7.026,128,97,9,41.9,0.1547,8,0.0769,17.5,0.5992,0.2654,0.0978,0.8159,60.5,0.311,52,35,1,0,0.0244,-0.524,0.0345555555555556,0.987483134855259
8,8.022,143,97,9,41.9,0.1378,9,0.081,20.4,0.6392,0.2667,0.1118,0.8069,65.8,0.455,44.5,35,0.667,0.039,0.0248,-0.064,0.0505555555555556,0.983671921468144
9,9.022,158,102,13,36.3,0.1297,11,0.0705,18.9,0.5641,0.2205,0.0936,0.7402,66.3,0.315,48.8,61,0.615,0.003,0.0179,-0.087,0.0242307692307692,0.990430724836804
10,10.02,173,105,20,27.7,0.1324,19,0.0675,21.2,0.5829,0.2641,0.0986,0.7882,79,0.297,50.4,69,0.8,0.011,0.0214,0.013,0.01485,0.986851196527783
11,11.022,188,106,22,28.9,0.1341,20,0.0674,19.3,0.5979,0.2724,0.0931,0.8132,61.6,0.37,48.8,78,0.682,0,0.0231,-0.192,0.0168181818181818,0.985051603705194
12,12.025,203,100,21,30.5,0.1216,20,0.0668,14.4,0.575,0.2712,0.1005,0.8085,77.4,0.467,51.2,72,0.667,0,0.0234,1.029,0.0222380952380952,0.98130987695993
13,13.024,218,109,22,32.1,0.1179,21,0.0608,21.6,0.5867,0.2837,0.1148,0.7955,68.5,0.497,48.7,85,0.682,0.002,0.0231,-0.702,0.0225909090909091,0.980618133463313
14,14.023,233,109,25,43.5,0.1134,21,0.0582,19.5,0.5832,0.296,0.1053,0.8104,60.2,0.459,49.5,103,0.6,0,0.028,-0.243,0.01836,0.969037503861255
15,15.024,248,114,26,43.1,0.1187,25,0.0614,20.1,0.6024,0.2938,0.114,0.8239,65.8,0.519,48.3,100,0.654,0.005,0.0328,0.246,0.0199615384615385,0.961063711958644
16,16.026,263,120,28,40.5,0.0993,27,0.058,17.8,0.5778,0.2895,0.1298,0.7752,64,0.556,52.5,107,0.393,0.021,0.027,0.749,0.0198571428571429,0.962324572479901
17,17.025,278,117,30,39.1,0.0941,26,0.0731,21.8,0.5568,0.2953,0.1228,0.7888,67.7,0.582,47.1,117,0.467,0.019,0.0251,0.114,0.0194,0.963769214598187
18,18.026,293,114,29,42.8,0.0829,26,0.0578,21.1,0.5547,0.2983,0.1417,0.7641,65.2,0.589,49.9,126,0.517,0.016,0.0287,0.091,0.0203103448275862,0.938160643469608
19,19.025,308,117,32,51.9,0.0854,30,0.0544,14.4,0.5959,0.2799,0.1253,0.7965,56,0.594,43.2,123,0.563,0.016,0.0209,-0.058,0.0185625,0.969591096637855
20,20.026,323,122,35,48.8,0.1101,31,0.1131,16.5,0.6211,0.2565,0.1124,0.7989,59.1,0.601,46.7,140,0.371,0.016,0.032,-0.065,0.0171714285714286,0.956830998938673
21,21.024,338,113,34,50,0.0953,32,0.0621,11.6,0.6335,0.2539,0.1081,0.8024,65.8,0.583,44.2,155,0.441,0,0.0154,-0.218,0.0171470588235294,0.986857166891195
22,22.024,353,117,35,49.5,0.1124,33,0.0603,19.4,0.6279,0.2458,0.1017,0.8111,62.6,0.608,48,163,0.486,0,0.0191,0.2,0.0173714285714286,0.985456338059919
23,23.026,368,121,36,57.3,0.1154,34,0.065,12.4,0.6096,0.2638,0.1034,0.8044,59,0.66,45.1,166,0.5,0.002,0.0209,0.162,0.0183333333333333,0.983462995210576
24,24.026,383,119,36,57.3,0.1032,35,0.0709,16.8,0.589,0.257,0.1032,0.7613,63.9,0.732,44.6,166,0.389,0.025,0.0227,0.118,0.0203333333333333,0.975508612346017
25,25.024,398,116,35,58.8,0.1133,33,0.0681,12.1,0.59,0.246,0.1004,0.7511,62.2,0.814,44.5,169,0.4,0.016,0.0201,-0.233,0.0232571428571429,0.98413790888189
26,26.026,413,122,34,61.6,0.1118,32,0.0614,12.4,0.6094,0.256,0.1102,0.7864,66.6,0.881,45.8,171,0.618,0.009,0.0218,-0.147,0.0259117647058824,0.980805020527571
27,27.029,428,117,35,61.6,0.1155,32,0.058,21,0.6167,0.2722,0.1047,0.8108,51.4,0.837,48.1,198,0.514,0.001,0.0169,-0.183,0.0239142857142857,0.989237259838455
28,28.025,443,120,32,66.1,0.1025,30,0.0619,10.4,0.5858,0.2496,0.1034,0.7579,66,0.825,44.5,197,0.563,0.016,0.0163,1.017,0.02578125,0.987274654444018
29,29.03,458,126,30,69.7,0.0931,30,0.0653,16.1,0.584,0.2575,0.1074,0.7752,61.2,0.876,44.5,193,0.3,0.025,0.0174,-0.329,0.0292,0.982379741162812
30,30.031,473,128,30,69.7,0.091,29,0.0649,10.4,0.5932,0.2511,0.1075,0.7696,63.8,0.911,44.4,193,0.267,0.002,0.0142,-0.514,0.0303666666666667,0.987750112013232
31,31.026,488,132,29,71.7,0.0957,29,0.0659,14.8,0.5946,0.2566,0.1163,0.7838,62.9,0.925,47.1,195,0.207,0.018,0.0199,0.421,0.0318965517241379,0.978141267564955
32,32.029,503,140,31,69,0.1125,29,0.0581,17.4,0.5627,0.257,0.1101,0.7753,77.1,0.92,51.5,225,0.516,0,0.0234,-0.544,0.0296774193548387,0.978128825871112
33,33.028,518,134,32,71.8,0.0854,29,0.0538,23.8,0.5578,0.2699,0.1042,0.7662,54.1,0.873,47.1,239,0.5,0.001,0.0191,0.153,0.02728125,0.974668742986068
34,34.03,533,136,32,71.8,0.0933,31,0.0579,23.4,0.563,0.2756,0.1108,0.7791,76.6,0.901,49.4,245,0.469,0.016,0.0253,0.569,0.02815625,0.962531956335872
35,35.03,548,136,32,71.8,0.0915,30,0.0586,18.6,0.5637,0.26,0.1158,0.7609,76.8,0.945,49.1,245,0.531,0.006,0.0245,0.046,0.02953125,0.96348576352062
36,36.03,563,140,31,73.5,0.0856,30,0.0625,13.4,0.5401,0.282,0.1207,0.7455,71.7,0.928,47.3,259,0.516,0.015,0.0202,0.261,0.0299354838709677,0.971757594300416
37,37.027,578,131,32,72.2,0.0853,30,0.0565,15.9,0.5756,0.2517,0.1221,0.7371,62.6,0.966,43.6,252,0.625,0.011,0.015,-0.078,0.0301875,0.984416983861753
38,38.028,593,134,31,73.6,0.1116,29,0.0803,14.2,0.5664,0.255,0.1161,0.7367,68.2,0.995,45.2,247,0.387,0.001,0.0201,-0.464,0.0320967741935484,0.983646927896667
39,39.031,608,141,31,76.1,0.0991,30,0.0594,19.8,0.5627,0.2534,0.1232,0.7173,56.8,1,47.4,259,0.516,0.003,0.0227,-0.578,0.032258064516129,0.973411939769375
40,40.029,623,143,31,76.1,0.1004,31,0.0643,21.7,0.5428,0.256,0.122,0.7276,69,1.068,45.7,259,0.548,0.02,0.0201,-0.194,0.0344516129032258,0.979755213838227
