rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.015,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.014,55,21,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.19,74,21,2,14.2,0,0,0,0,0.5984,0.2533,0.0987,0.76,37.1,0,55.8,8,1,0,0,-0.445,0,NaN
4,4.034,83,20,2,14.2,0.2014,2,0.0181,44,0.5678,0.2771,0.099,0.8237,38.2,0.167,55.7,8,1,0,0.0357,-1.575,0.0835,0.984164204330221
5,5.015,109,22,4,301.3,0.1744,3,0.1614,12.9,0.6745,0.1853,0.1008,0.82,69.6,0.192,46.8,7,0.75,0.007,0.0092,-0.21,0.048,0.998607628411811
6,6.016,139,23,5,242.7,0.165,4,0.133,14.7,0.5984,0.2764,0.0996,0.7896,62.8,0.265,46.5,8,0.6,0,0.0223,0.283,0.053,0.990824943141951
7,7.011,169,23,8,262.5,0.1981,7,0.0841,16.7,0.6241,0.2718,0.0966,0.82,63.7,0.339,45.1,10,1,0,0.0248,-0.273,0.042375,0.992132873955196
8,8.015,199,23,8,262.5,0.203,8,0.0865,14.3,0.6477,0.2365,0.0997,0.812,45,0.547,42.9,10,1,0,0.0172,0.195,0.068375,0.996404027343831
9,9.016,229,25,8,262.5,0.1658,8,0.0834,20.8,0.5839,0.2684,0.1067,0.8163,65.4,0.724,51.2,10,0.875,0,0.031,-1.025,0.0905,0.98236519461314
10,10.016,259,24,8,262.5,0.1541,8,0.1032,16,0.5878,0.2601,0.1154,0.7754,41.6,0.897,45.7,10,0.875,0,0.0235,0.238,0.112125,0.988303720930936
11,11.015,289,25,8,262.5,0.1525,6,0.1095,17.2,0.6301,0.2707,0.123,0.8111,72.9,1.046,49.8,10,0.875,0.001,0.0334,0.831,0.13075,0.975721179130281
12,12.015,319,24,6,347.8,0.1492,6,0.1,16.2,0.5806,0.2632,0.0988,0.7802,46.9,1.111,55.1,9,0.5,0.25,0.0217,-1.205,0.185166666666667,0.989366726818721
13,13.015,349,24,6,347.8,0.1499,6,0.1056,12.2,0.65,0.2485,0.0933,0.7976,49.9,1.275,49.4,9,0.833,0,0.0086,0.186,0.2125,0.998352894365194
14,14.012,379,26,6,347.8,0.1616,5,0.1342,9.1,0.6466,0.2292,0.0966,0.7768,43.5,1.432,47.4,9,0.667,0,0.0066,-0.441,0.238666666666667,0.999165634418754
