rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.017,19,199,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.062,29,236,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,3.516,37,243,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
5,5.096,48,264,21,7.9,0.1717,11,0.0755,10.1,0.7279,0.2237,0.0924,0.8816,47.7,0.076,36.8,89,0.905,0.095,0.0115,-0.605,0.00361904761904762,0.997754500448337
6,6.342,55,267,48,16.1,0.1585,35,0.0673,9.1,0.7652,0.2308,0.0963,0.9089,50,0.148,37.8,115,0.958,0.011,0.0154,0.015,0.00308333333333333,0.99526868872687
7,7.042,59,270,57,16,0.1686,45,0.0601,10.5,0.7691,0.2322,0.0944,0.9005,48.8,0.205,35.5,130,0.912,0.027,0.0137,-0.075,0.00359649122807018,0.996693148702457
8,8.038,69,291,75,27.2,0.15,64,0.0689,8.1,0.7281,0.2035,0.0884,0.8529,48.2,0.269,35.1,148,0.947,0.001,0.0132,0.052,0.00358666666666667,0.996120474641496
9,9.043,79,294,84,28.8,0.1485,70,0.0695,8.8,0.7324,0.21,0.0879,0.8554,49.2,0.334,35.4,166,0.833,0,0.0117,0.317,0.00397619047619048,0.996891403391616
10,10.096,87,285,90,29,0.1321,76,0.0669,8.5,0.7295,0.2044,0.0904,0.8495,48.9,0.421,34.8,186,0.778,0.003,0.0128,0.451,0.00467777777777778,0.995294483482521
11,11.041,94,283,98,40.3,0.1313,83,0.0665,7.4,0.7373,0.2004,0.0887,0.8429,46.2,0.455,34.7,211,0.837,0,0.0115,0.262,0.00464285714285714,0.996156989821768
12,12.099,102,287,109,42,0.1277,96,0.0697,7.3,0.7263,0.1988,0.0895,0.8328,47.7,0.507,35,253,0.798,0.005,0.0124,-0.195,0.00465137614678899,0.995274378322501
13,13.003,111,290,113,51,0.1167,104,0.0776,7.9,0.7266,0.203,0.0891,0.8336,44.6,0.563,34.8,270,0.699,0.014,0.0104,-0.07,0.00498230088495575,0.996021129245293
14,14.011,121,318,114,52,0.1213,98,0.0733,7.2,0.7278,0.2033,0.0901,0.8358,49.3,0.617,35.6,284,0.675,0.01,0.0099,-0.012,0.00541228070175439,0.996663863363315
15,15.017,131,305,109,55,0.12,98,0.0724,7.4,0.7303,0.2077,0.093,0.841,44.8,0.657,35.5,314,0.606,0.015,0.0104,0.203,0.00602752293577982,0.996237365736143
16,16.011,141,305,108,60.5,0.1205,94,0.0747,8.2,0.7214,0.1971,0.0892,0.8247,44.8,0.706,34.2,332,0.648,0.001,0.0096,-0.178,0.00653703703703704,0.996821449328943
17,17.01,151,305,103,65,0.109,97,0.0799,7.4,0.7192,0.2087,0.0908,0.8312,46,0.795,34.8,344,0.67,0,0.0112,-0.145,0.00771844660194175,0.994706975025542
18,18.015,161,308,102,65.7,0.1116,96,0.0756,6.9,0.7281,0.212,0.0911,0.8367,47.8,0.826,34.8,368,0.608,0.021,0.0105,0.079,0.00809803921568627,0.99556407154803
19,19.012,171,310,108,65.7,0.1065,99,0.0691,7.4,0.7167,0.2043,0.092,0.8267,43.5,0.841,33.3,418,0.676,0.009,0.009,0.033,0.00778703703703704,0.996422882018253
20,20.018,181,312,107,71.6,0.1011,101,0.0693,6,0.7109,0.2009,0.0913,0.8159,46.8,0.877,35.6,439,0.645,0.019,0.0076,-0.129,0.00819626168224299,0.997170499787325
21,21.016,191,319,112,71.1,0.1048,101,0.0659,7.8,0.716,0.2133,0.0927,0.8378,46,0.87,34.8,505,0.732,0.014,0.0096,-0.043,0.00776785714285714,0.995795601818648
22,22.015,201,318,107,74.7,0.1058,97,0.0733,8.3,0.724,0.2133,0.0889,0.8488,47.3,0.917,36.2,531,0.654,0.019,0.0101,-0.297,0.00857009345794392,0.995432965740996
23,23.011,211,310,108,78.3,0.113,100,0.0738,8.3,0.7114,0.2184,0.0875,0.8438,48,0.945,36.1,578,0.685,0.005,0.0123,-0.47,0.00875,0.994058234625738
24,24.013,221,312,110,76.7,0.1099,103,0.0715,9.2,0.7365,0.2086,0.0877,0.8533,42.8,1.005,35.2,614,0.718,0.014,0.0099,-0.08,0.00913636363636364,0.995934361602339
25,25.015,231,307,114,75.2,0.1064,100,0.0694,7.3,0.7275,0.2077,0.0885,0.846,47,1.051,35,651,0.711,0.014,0.0102,0.145,0.00921929824561404,0.995394377443402
26,26.018,241,307,113,77.2,0.1016,101,0.0689,6.9,0.7204,0.2071,0.0868,0.8401,47.8,1.017,34.8,709,0.664,0.009,0.0096,0.151,0.009,0.995525982656387
27,27.014,251,317,109,79.8,0.1123,105,0.077,8,0.7292,0.2143,0.0875,0.8555,48.4,1.031,36.1,729,0.624,0.043,0.0126,0.293,0.00945871559633027,0.993685704784394
28,28.016,261,312,114,86.6,0.1074,109,0.0725,7.1,0.7181,0.2076,0.0876,0.8415,46.2,1.043,36.2,762,0.658,0,0.011,0.027,0.00914912280701754,0.994741156347273
29,29.014,271,318,115,87.1,0.1033,106,0.0735,6.6,0.7245,0.2186,0.0907,0.8519,47.9,1.105,35.4,767,0.565,0.014,0.011,-0.13,0.00960869565217391,0.994314205690736
30,30.011,281,318,109,91,0.0948,100,0.0706,7.4,0.7239,0.2134,0.091,0.8413,42.1,1.161,35.8,779,0.587,0.01,0.0102,0.3,0.010651376146789,0.994194814709178
31,31.014,291,317,104,97.3,0.0965,96,0.0719,6,0.7293,0.2063,0.0915,0.8378,48.8,1.111,35.8,801,0.615,0.014,0.0081,-0.015,0.0106826923076923,0.996470993923044
32,32.015,301,324,105,98.5,0.0962,103,0.0723,5.9,0.7311,0.208,0.0885,0.8403,43.8,1.146,33.9,824,0.61,0.006,0.0094,0.124,0.0109142857142857,0.995214625362445
33,33.019,311,332,111,93.6,0.0856,97,0.0711,6.7,0.7354,0.2125,0.0891,0.8539,45.8,1.151,35.4,864,0.523,0.024,0.009,0.097,0.0103693693693694,0.994457410397897
34,34.014,321,324,104,98.9,0.092,99,0.0724,5.5,0.7399,0.2102,0.0869,0.8507,48.6,1.137,34.6,891,0.577,0.005,0.0073,0.02,0.0109326923076923,0.996846990513225
35,35.016,331,327,106,97.9,0.097,99,0.0833,7.1,0.7321,0.2046,0.0869,0.8393,45.8,1.19,33,903,0.538,0.005,0.0096,0.063,0.0112264150943396,0.995090509830543
36,36.084,341,318,106,100.9,0.0988,99,0.0792,6.1,0.7372,0.2106,0.0873,0.8474,46.3,1.204,33.4,961,0.538,0.01,0.0097,0.238,0.0113584905660377,0.995168856670676
37,37.081,351,311,104,102.9,0.0866,99,0.0681,6.3,0.7284,0.1991,0.0878,0.8412,48.2,1.245,34.3,989,0.481,0.001,0.0082,0.15,0.0119711538461538,0.995506976705631
38,38.081,361,315,101,105.1,0.0844,98,0.0682,6.4,0.7307,0.197,0.0867,0.8379,45.7,1.239,34.4,1017,0.634,0.02,0.0077,0.055,0.0122673267326733,0.995829644400863
39,39.087,371,308,105,102.1,0.0871,96,0.0645,5.9,0.7273,0.2019,0.0891,0.8455,47.2,1.194,35.3,1080,0.59,0.015,0.0078,0.032,0.0113714285714286,0.995982126609127
40,40.079,381,310,103,107.9,0.0773,101,0.0611,5.4,0.7247,0.2071,0.0887,0.8489,48.3,1.252,35,1063,0.631,0.015,0.0086,0.111,0.0121553398058252,0.99379190884109
41,41.082,391,309,111,113,0.0766,102,0.0601,5.9,0.7394,0.2062,0.0881,0.8497,46,1.21,34,1129,0.486,0.018,0.0068,0.012,0.0109009009009009,0.996051897152656
42,42.084,401,308,107,117.4,0.0769,104,0.0642,5.8,0.727,0.2097,0.0875,0.8499,48.9,1.24,35.6,1127,0.449,0.009,0.0071,-0.001,0.011588785046729,0.995728675957899
43,43.087,411,316,108,116.1,0.0745,103,0.0606,6.2,0.7317,0.2133,0.0885,0.8487,49.7,1.184,34.9,1165,0.454,0.009,0.007,-0.035,0.010962962962963,0.99557599852962
44,44.119,421,320,110,115.2,0.0721,103,0.0628,5.2,0.736,0.201,0.0887,0.8504,50.2,1.143,34.6,1237,0.482,0.018,0.0053,-0.027,0.0103909090909091,0.997294552615227
45,45.046,430,306,110,117.6,0.0746,104,0.0624,5,0.7376,0.2009,0.091,0.8409,44.8,1.127,33.9,1289,0.491,0.005,0.0062,-0.01,0.0102454545454545,0.996540386170523
46,46.047,440,306,112,117.5,0.0693,107,0.0549,5.6,0.729,0.2043,0.0892,0.8391,44.3,1.151,33.9,1296,0.5,0.019,0.0071,-0.054,0.0102767857142857,0.994737835712372
