rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.001,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.05,58,36,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3,71,38,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4,101,38,2,47.9,0.1992,2,0.0136,5.8,0.7429,0.2057,0.1024,0.8688,37.9,0.141,34.2,35,1,0,0.0156,-0.964,0.0705,0.996928801069901
5,5,131,39,13,428.8,0.142,6,0.0858,6.9,0.807,0.2329,0.1332,0.9093,37.7,0.107,38.4,25,0.846,0,0.0113,-1.033,0.00823076923076923,0.99682868492926
6,6,161,41,16,423.2,0.1451,13,0.0826,5.7,0.8103,0.2327,0.1072,0.935,46.7,0.203,33.9,27,0.875,0,0.0106,-0.271,0.0126875,0.99732805506701
7,7.002,191,43,16,459.3,0.191,14,0.0887,14.5,0.8004,0.2353,0.1051,0.9387,40.7,0.334,35.6,26,0.75,0,0.0188,-0.281,0.020875,0.995144044391574
8,8.002,221,43,15,489.8,0.1816,13,0.0742,11,0.7717,0.2437,0.105,0.9066,53.5,0.431,38.2,30,0.867,0,0.021,0.505,0.0287333333333333,0.993291334744129
9,9.002,251,45,16,547.5,0.1482,16,0.0766,20.8,0.7416,0.2766,0.1047,0.9325,49,0.53,39.9,29,0.75,0.063,0.0245,0.117,0.033125,0.986240459296012
10,10.002,280,44,17,517,0.1317,17,0.0799,6.4,0.7417,0.2677,0.1113,0.9405,57.5,0.602,39.9,28,0.588,0,0.0162,-0.086,0.0354117647058824,0.99240582367291
11,11.003,310,42,18,554.4,0.0951,18,0.0656,8.3,0.7438,0.2368,0.1243,0.8715,45.2,0.654,34.4,27,0.667,0,0.0058,0.703,0.0363333333333333,0.998138472864548
12,12.001,340,46,19,531.3,0.104,18,0.0717,6.4,0.7809,0.259,0.1142,0.93,57.7,0.694,34.1,31,0.684,0.026,0.0106,0.283,0.0365263157894737,0.994792283037284
13,13.001,370,48,20,517.2,0.1135,19,0.0827,6.2,0.7954,0.2435,0.1182,0.9136,54.1,0.747,40.6,30,0.65,0,0.0109,0.439,0.03735,0.995377934373752
14,14.034,401,45,19,544.1,0.1158,18,0.0797,6.4,0.7818,0.2215,0.1045,0.9026,34.6,0.856,32.9,26,0.632,0,0.0093,0.131,0.0450526315789474,0.996769864321985
15,15,430,45,19,550.9,0.117,18,0.0777,5.6,0.8303,0.2126,0.1048,0.9396,31.2,0.913,33.9,25,0.526,0,0.0078,-0.308,0.0480526315789474,0.997775303139718
16,16,460,45,20,524.9,0.1075,20,0.0857,7.5,0.8313,0.2144,0.1056,0.9411,43.3,0.959,33,31,0.7,0.001,0.0069,-0.225,0.04795,0.997937949690865
17,17.002,490,45,20,524.9,0.1091,20,0.0822,6.2,0.8416,0.2068,0.1064,0.9514,49.2,1.067,32.5,31,0.8,0.001,0.0067,0.121,0.05335,0.998112529550053
18,18.001,520,45,20,524.9,0.0955,20,0.0813,4,0.8384,0.1926,0.1076,0.9288,37.5,1.145,32.2,31,0.4,0,0.0058,0.123,0.05725,0.998154048541027
19,19.002,550,45,22,520.2,0.094,21,0.0774,5.3,0.8327,0.203,0.1085,0.935,44.9,1.086,30.2,39,0.273,0.045,0.0088,-0.39,0.0493636363636364,0.995608283074873
20,20.003,579,45,21,544.3,0.0937,21,0.0837,3.9,0.8277,0.2035,0.1088,0.9323,45.1,1.064,32,40,0.524,0.001,0.0072,-0.114,0.0506666666666667,0.997043360896232
21,21.002,609,45,22,573.2,0.0671,21,0.0752,3,0.824,0.2123,0.1085,0.9205,36.6,1.072,31.2,45,0.455,0,0.0035,-0.268,0.0487272727272727,0.998638690868045
22,22.001,639,45,22,573.2,0.0879,22,0.0778,6.7,0.823,0.2148,0.1089,0.9325,43.7,1.142,32.4,45,0.5,0,0.0074,0.094,0.0519090909090909,0.996450009021841
23,23.003,669,46,22,573.2,0.0963,22,0.0852,5.7,0.8262,0.225,0.1092,0.9362,40.3,1.202,32,45,0.273,0.024,0.0072,-0.017,0.0546363636363636,0.997201079090397
24,24.036,700,48,24,623.5,0.0927,24,0.0763,6.3,0.8302,0.2238,0.1087,0.9432,44.5,1.152,35.3,49,0.5,0.042,0.0069,-0.242,0.048,0.997225967728413
25,25.001,728,48,24,623.5,0.0908,24,0.0822,6.9,0.8115,0.2189,0.1083,0.9412,44.8,1.218,32.4,49,0.208,0.042,0.0095,-0.035,0.05075,0.994511686280722
26,26.001,758,49,24,623.5,0.0931,24,0.1059,3.8,0.8013,0.2216,0.109,0.9236,45.2,1.242,33.1,49,0,0.042,0.0111,-0.245,0.05175,0.99286706501202
27,27.001,788,49,24,623.5,0.1078,23,0.087,8.6,0.7945,0.228,0.1081,0.9336,47.5,1.247,34.4,49,0.083,0,0.0116,-0.007,0.0519583333333333,0.994193543846974
28,28.001,817,47,23,650.2,0.0912,23,0.0712,6.3,0.7957,0.2184,0.1162,0.9112,47.5,1.215,32.6,45,0.13,0,0.0063,-0.46,0.0528260869565217,0.997611196323734
29,29.002,847,47,23,650.2,0.0809,23,0.0788,5.2,0.7965,0.2162,0.1106,0.9107,41.6,1.235,33,45,0.304,0.065,0.007,-0.369,0.053695652173913,0.996249542856755
30,30.003,877,48,24,629,0.063,23,0.062,6.6,0.7716,0.2126,0.1091,0.8942,48.4,1.238,35.8,50,0.5,0.021,0.0056,-0.447,0.0515833333333333,0.99604154804511
31,31.001,907,46,24,629,0.0747,24,0.0664,5.9,0.746,0.2231,0.1127,0.8911,55.8,1.278,33.6,50,0.417,0.039,0.011,-0.797,0.05325,0.989098459169842
32,32.003,937,49,25,622.8,0.1013,24,0.073,5.4,0.7891,0.2098,0.1052,0.9021,54.3,1.276,34.5,56,0.36,0,0.0043,-0.386,0.05104,0.999098670075195
