rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.189,14,83,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.057,21,94,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.254,37,104,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.041,40,108,6,171.6,0,0,0,0,0.6503,0.193,0.083,0.724,41.9,0.014,34.2,60,0.667,0,0,-0.443,0.00233333333333333,NaN
5,5.065,51,117,14,113.1,0.1925,10,0.0952,8.8,0.6414,0.2096,0.101,0.7523,37.1,0.111,40.1,67,0.857,0.001,0.0091,-0.441,0.00792857142857143,0.99888201968811
6,6.049,60,122,17,98,0.1577,14,0.0843,8.7,0.6592,0.2168,0.093,0.7707,49.8,0.208,36.5,64,0.765,0,0.0156,-0.431,0.0122352941176471,0.995095190001069
7,7.082,73,133,18,154.6,0.146,16,0.0748,12.8,0.666,0.1842,0.092,0.7697,47.7,0.302,38.5,66,0.611,0.001,0.0123,0.428,0.0167777777777778,0.996444938038759
8,8.174,87,140,27,182,0.1482,24,0.0842,9.1,0.6495,0.1832,0.0861,0.7204,36,0.31,32.7,58,0.889,0.038,0.013,-0.043,0.0114814814814815,0.996145232742343
9,9.056,98,148,29,172.9,0.1174,26,0.0617,6.7,0.6204,0.16,0.0825,0.6986,40.8,0.36,31.9,57,0.621,0.019,0.0086,0.108,0.0124137931034483,0.997313328870907
10,10.279,104,145,31,163,0.1249,28,0.0647,6.4,0.6364,0.162,0.086,0.6981,42.4,0.364,33.8,64,0.774,0.065,0.0089,-0.324,0.011741935483871,0.997457988665329
11,11.007,106,146,33,156.4,0.1262,32,0.0735,7.4,0.6238,0.1703,0.0833,0.6965,40.3,0.417,32,66,0.788,0.032,0.0088,-0.365,0.0126363636363636,0.997565860143769
12,12.312,116,146,35,147.4,0.104,33,0.0597,7.4,0.6472,0.1822,0.0906,0.7373,53,0.455,33.8,71,0.771,0.014,0.008,0.318,0.013,0.997037030524286
13,13.055,121,154,36,143.4,0.0883,34,0.064,5.5,0.6545,0.1872,0.0918,0.7383,41.2,0.494,31.5,75,0.5,0.027,0.008,-0.209,0.0137222222222222,0.99588734250318
14,14.043,134,158,36,148.4,0.0846,34,0.065,5.3,0.6324,0.1787,0.0931,0.7098,41.2,0.544,32.7,77,0.556,0.029,0.0068,-0.046,0.0151111111111111,0.996764433972204
15,15.039,141,155,34,157.7,0.0862,31,0.0775,6.8,0.6429,0.1621,0.0867,0.7069,39.4,0.55,30.3,87,0.471,0.059,0.0072,0.349,0.0161764705882353,0.996505541064168
16,16.094,150,158,35,153.6,0.077,34,0.0559,5.6,0.6245,0.1652,0.0905,0.7085,40.2,0.588,31.8,90,0.543,0.015,0.006,0.256,0.0168,0.996959452421364
