rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.018,16,111,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.021,28,128,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.053,35,140,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.061,50,163,6,21.1,0.2098,3,0.1623,8.2,0.6772,0.2071,0.1062,0.8071,44.7,0.093,33.2,38,1,0,0.0127,-0.53,0.0155,0.998166145490066
5,5.063,65,170,15,76.4,0.1546,8,0.0892,10.8,0.7388,0.2041,0.108,0.8349,41.2,0.133,33.2,57,0.8,0,0.0116,-0.422,0.00886666666666667,0.997181100766078
6,6.064,80,170,26,95,0.1554,22,0.0634,8.5,0.7407,0.2011,0.1074,0.8245,34.5,0.188,31.9,52,0.808,0.001,0.0127,0.14,0.00723076923076923,0.996654951696896
7,7.064,95,176,33,116.2,0.1406,28,0.06,8,0.7187,0.1958,0.1047,0.8154,46.5,0.232,31.3,59,0.758,0.001,0.0113,0.007,0.00703030303030303,0.996765111875073
8,8.065,110,188,39,100.4,0.1234,32,0.0603,8.5,0.7416,0.1919,0.1062,0.8188,35,0.314,31.6,61,0.821,0,0.0081,-0.067,0.00805128205128205,0.997843356878917
9,9,124,188,42,109.2,0.1085,33,0.0577,4.5,0.7276,0.1895,0.1067,0.813,38.4,0.364,29.5,70,0.881,0,0.0077,-0.244,0.00866666666666667,0.9974786111013
10,10.001,139,203,41,113.9,0.1203,40,0.0635,4.7,0.738,0.183,0.1095,0.8157,43.7,0.437,30.8,76,0.756,0.001,0.0054,-0.048,0.0106585365853659,0.998992035582576
11,11.002,154,202,45,105.1,0.1063,43,0.058,5,0.728,0.1854,0.1095,0.8058,38.6,0.489,32.4,90,0.689,0.001,0.006,-0.189,0.0108666666666667,0.99840576515286
12,12.069,170,196,45,117.7,0.1007,42,0.0629,9.9,0.7142,0.2007,0.1083,0.8108,37.1,0.502,31.6,90,0.578,0.001,0.0096,-0.112,0.0111555555555556,0.995445469015072
13,13.001,184,197,47,115.8,0.0928,43,0.0529,5.2,0.706,0.188,0.1106,0.7872,35,0.517,30.4,107,0.723,0,0.0084,-0.11,0.011,0.995894888536476
14,14.002,199,199,50,118.2,0.0867,46,0.0572,8,0.7063,0.1968,0.1144,0.7938,48.6,0.55,31.5,112,0.7,0.001,0.0082,0.027,0.011,0.995517358578831
