rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.027,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.02,56,46,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.033,71,59,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.039,98,63,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
5,5.03,127,70,2,224.9,0.1761,1,0.1761,7.4,0.6026,0.3043,0.0905,0.8048,58.5,0.116,40.1,11,1,0,0.0147,0.753,0.058,0.996509846716411
6,6,155,74,3,245.1,0.0274,2,0.0122,0.5,0.7083,0.2386,0.0912,0.8427,48.8,0.166,37.9,30,0.667,0.333,0.0067,-0.119,0.0553333333333333,0.969642850046654
7,7.001,178,76,5,156.4,0.1502,5,0.1111,5.1,0.7211,0.2037,0.0965,0.8423,41.5,0.16,34.2,28,0.4,0,0.0166,-0.668,0.032,0.993873977247545
8,8.036,199,86,9,170.9,0.1404,6,0.1068,10.5,0.7491,0.2015,0.0944,0.8531,39.9,0.168,31.6,30,0.222,0.056,0.011,-0.176,0.0186666666666667,0.996926104065427
9,9.024,214,93,10,187.8,0.1355,8,0.088,7,0.7466,0.1868,0.0974,0.8477,52.1,0.23,28,27,0.7,0.001,0.007,-0.757,0.023,0.998664704004346
10,10.038,230,101,15,152.2,0.1051,11,0.0873,9.9,0.7196,0.2181,0.1076,0.8143,39.1,0.25,33.2,37,0.667,0,0.0085,-0.27,0.0166666666666667,0.996724222973426
11,11.008,244,109,20,185.8,0.1441,17,0.088,6,0.7211,0.2005,0.0977,0.8265,39.4,0.261,32.1,44,0.65,0.003,0.0097,0.107,0.01305,0.997731815800908
12,12.009,259,114,24,183.7,0.1409,20,0.0847,6.4,0.7489,0.1903,0.0932,0.83,44.1,0.325,33.1,49,0.75,0.021,0.0083,0.238,0.0135416666666667,0.998263473366241
13,13.004,274,119,27,192.7,0.1435,24,0.0721,6.4,0.7304,0.1968,0.0942,0.8229,41.5,0.42,30.5,64,0.852,0.002,0.0073,0.026,0.0155555555555556,0.99870522838596
14,14.008,289,118,28,197.1,0.1255,28,0.0879,9.7,0.7077,0.2068,0.1048,0.7982,45.2,0.516,33.6,72,0.643,0,0.0085,0.212,0.0184285714285714,0.997703749229125
15,15.01,304,120,29,190.5,0.102,28,0.0706,5.3,0.7244,0.2212,0.1032,0.8342,47.8,0.579,35.4,70,0.448,0.017,0.0094,-0.392,0.0199655172413793,0.995744501691564
16,16.045,319,117,33,204,0.1053,31,0.0826,11.3,0.6825,0.2159,0.1005,0.7929,42.6,0.562,32.1,79,0.424,0.015,0.0125,-0.437,0.017030303030303,0.992929153270183
17,17.042,334,120,35,224.8,0.0971,32,0.0757,10.6,0.6825,0.2148,0.1038,0.7945,40.5,0.552,34.5,86,0.086,0.014,0.0074,-0.381,0.0157714285714286,0.997091782020338
18,18.043,349,124,34,265.8,0.0993,32,0.0608,9.2,0.6722,0.2075,0.0975,0.7979,46.9,0.554,35.5,88,0.471,0.015,0.0092,-0.206,0.0162941176470588,0.995698874196873
19,19.045,364,131,34,269.1,0.1,33,0.0584,8.6,0.6631,0.2271,0.096,0.7906,60.1,0.57,34.9,87,0.412,0.03,0.0129,-0.316,0.0167647058823529,0.991644593591878
20,20.041,379,132,34,269.1,0.08,33,0.0632,11,0.6696,0.2338,0.0967,0.8021,45.2,0.603,35.1,87,0.353,0.032,0.0131,0.16,0.0177352941176471,0.986501868979476
21,21.046,394,142,33,277.1,0.0859,33,0.0848,6.3,0.6724,0.2142,0.0917,0.7939,51.9,0.656,34.1,89,0.364,0.015,0.0075,0.182,0.0198787878787879,0.99618111785381
22,22.048,409,144,33,296.4,0.0934,30,0.071,8.7,0.6811,0.2118,0.096,0.7993,50,0.687,33.7,87,0.364,0.015,0.0119,-0.088,0.0208181818181818,0.991850265088409
23,23.046,424,140,34,289.4,0.091,32,0.0663,7.1,0.6725,0.2073,0.0936,0.7965,55.4,0.658,34.4,85,0.412,0.03,0.0097,-0.33,0.0193529411764706,0.994302693182922
24,24.05,439,138,36,301.1,0.0859,34,0.0782,7.6,0.6602,0.2208,0.0934,0.7843,54.5,0.644,34,91,0.611,0.028,0.0111,-0.249,0.0178888888888889,0.99161594661581
25,25.047,454,139,38,285.6,0.0902,36,0.0855,8.2,0.674,0.2239,0.0959,0.799,50,0.663,33.8,100,0.289,0,0.0102,-0.03,0.0174473684210526,0.993585654208784
26,26.046,469,137,40,293,0.0939,40,0.0798,6.2,0.6672,0.1975,0.0938,0.7677,49.7,0.654,32.4,117,0.225,0.012,0.0107,-0.246,0.01635,0.993486369775258
27,27.043,484,138,42,282.9,0.0852,41,0.0691,6.7,0.6501,0.2031,0.0972,0.7548,49.9,0.631,32.4,123,-0.024,0.001,0.0111,0.042,0.0150238095238095,0.991477020013094
28,28.046,499,140,41,289.5,0.0875,41,0.0709,8.2,0.6479,0.199,0.1008,0.7488,46,0.624,34.5,121,0.098,0.024,0.0078,-0.108,0.015219512195122,0.996018850735471
29,29.046,514,142,41,289.5,0.0713,41,0.0657,10,0.6508,0.2068,0.0981,0.7542,44.9,0.629,33.8,121,0.146,0,0.0079,-0.094,0.0153414634146341,0.993842786520816
30,30.047,529,144,42,283.1,0.0791,42,0.0667,13.2,0.6326,0.2134,0.0981,0.758,52.9,0.622,35.1,127,0.31,0.024,0.0102,0.14,0.0148095238095238,0.991651006239532
31,31.046,544,140,44,270.8,0.073,43,0.065,9.4,0.638,0.2201,0.0968,0.7666,59.6,0.606,34.4,145,0.205,0.046,0.0092,-0.316,0.0137727272727273,0.992026761302235
32,32.048,559,145,44,270.8,0.082,44,0.06,9.1,0.6588,0.2275,0.0962,0.7857,62,0.633,35.7,145,0.136,0.035,0.0091,-0.295,0.0143863636363636,0.993823130159115
33,33.048,574,147,45,266.5,0.0699,44,0.0593,7.8,0.6599,0.2201,0.0966,0.7886,60.6,0.649,35.1,146,0.156,0,0.0087,0.009,0.0144222222222222,0.992224184526938
34,34.043,589,148,45,266.7,0.0754,45,0.0576,10.3,0.6538,0.2123,0.0931,0.7823,54.2,0.691,34.5,153,0.511,0,0.0095,-0.157,0.0153555555555556,0.992030915265186
35,35.048,604,150,47,257.9,0.0637,47,0.0464,5.8,0.6588,0.2093,0.0933,0.7687,53.3,0.709,33,160,0.574,0,0.0062,0.011,0.0150851063829787,0.995252043295261
36,36.049,619,147,47,257.9,0.0642,47,0.0631,5.9,0.659,0.2094,0.0995,0.7681,45.3,0.753,33.9,160,0.34,0,0.0048,0.192,0.0160212765957447,0.997201079090397
37,37.049,634,150,47,257.9,0.0763,47,0.0659,8.3,0.6534,0.2097,0.0957,0.7619,49.3,0.782,32.4,160,0.34,0.034,0.0066,0.218,0.0166382978723404,0.99625179379075
38,38.048,649,148,48,274.3,0.0667,47,0.054,6.5,0.6538,0.2089,0.0945,0.7735,54.3,0.808,34.5,164,0.521,0.011,0.0069,-0.078,0.0168333333333333,0.994634834610756
39,39.047,664,141,47,280.3,0.0788,46,0.0703,5.7,0.6589,0.2128,0.095,0.7743,49.8,0.853,34.9,156,0.277,0.001,0.0064,-0.298,0.0181489361702128,0.996696338886785
40,40.05,679,142,47,284.8,0.0625,47,0.0543,5.9,0.643,0.2151,0.0976,0.7639,53.7,0.842,34.9,156,0.085,0.021,0.0073,-0.272,0.0179148936170213,0.993155456109465
41,41.044,694,145,49,297,0.057,45,0.0421,5.8,0.6339,0.2151,0.0949,0.7472,54.7,0.822,35.1,160,0.367,0.031,0.0058,-0.078,0.0167755102040816,0.994809552093718
42,42.047,709,146,48,305,0.054,48,0.0463,6.1,0.6165,0.2123,0.0999,0.7394,55.9,0.864,34.1,162,0.458,0.006,0.0082,-0.265,0.018,0.9884032654181
43,43.048,724,148,48,305,0.0594,48,0.0514,6,0.6176,0.222,0.0968,0.7522,50.3,0.893,33.2,162,0.438,0.032,0.0076,-0.177,0.0186041666666667,0.991781119170754
44,44.046,739,147,49,301.5,0.0655,49,0.061,7,0.637,0.2145,0.0968,0.7627,50.5,0.914,34.5,161,0.449,0,0.0059,-0.157,0.0186530612244898,0.995934864192844
45,45.047,754,143,50,296.4,0.0581,50,0.0529,4.3,0.6611,0.1969,0.0939,0.7663,53.5,0.939,32.6,166,0.4,0.01,0.0045,-0.185,0.01878,0.99699603020698
46,46.047,769,148,50,296.4,0.0645,50,0.0558,6.3,0.6589,0.2046,0.0938,0.764,53.1,0.972,32.2,166,0.28,0.02,0.0065,-0.294,0.01944,0.994909222147873
47,47.056,784,149,50,337.7,0.0557,49,0.0564,3.7,0.6559,0.1997,0.0964,0.7527,52.6,0.957,33.1,172,0.28,0.01,0.0048,-0.33,0.01914,0.996279934017406
48,48.044,799,148,50,338.9,0.0536,48,0.0536,5.7,0.6482,0.2032,0.0959,0.7546,52.8,0.93,32.8,181,0.24,0.021,0.0045,-0.068,0.0186,0.996469528075575
49,49.049,814,147,49,346.4,0.0549,49,0.0531,5.7,0.6613,0.2031,0.0969,0.758,55.9,0.924,33.3,195,0.224,0.019,0.0046,0.038,0.0188571428571429,0.996483543578577
50,50.047,829,147,52,328.1,0.0592,50,0.0563,3.9,0.6616,0.2022,0.0934,0.7596,56.8,0.895,33,226,0.365,0,0.0051,0.011,0.0172115384615385,0.996282294500917
51,51.048,844,142,51,334.1,0.0532,50,0.0426,6.2,0.6591,0.1976,0.0967,0.7531,55,0.922,32,224,0.314,0.01,0.0067,-0.017,0.018078431372549,0.99203787945656
52,52.047,859,137,53,328.4,0.0598,51,0.0477,6.9,0.6548,0.1989,0.094,0.7578,52.8,0.921,33.6,231,0.415,0,0.0061,-0.269,0.017377358490566,0.99478371287771
53,53.049,874,142,52,339.6,0.0503,52,0.0537,4.3,0.6593,0.1876,0.0911,0.7583,47.6,0.962,31.4,238,0.327,0.01,0.0038,-0.447,0.0185,0.997142263242965
54,54.049,889,147,53,333.4,0.0557,52,0.062,3.4,0.6539,0.189,0.0906,0.7505,49.5,0.969,29.3,248,0.283,0.01,0.0048,-0.306,0.0182830188679245,0.996279934017406
