rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.02,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.225,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.216,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.142,42,14,1,46.4,0,0,0,0,0.4437,0.1258,0.0658,0.6093,55.5,0.03,41.9,10,1,0,0,-2.325,0.03,NaN
5,5.023,63,21,2,101.7,0.0953,2,0.0725,9.1,0.4446,0.2661,0.0897,0.6047,48.5,0.1,46.6,6,0.5,0,0.0151,1.911,0.05,0.987367482348035
6,6.412,73,21,4,85.8,0.1466,2,0.0247,24,0.4713,0.2571,0.0907,0.6915,74.7,0.064,53.3,5,0.5,0,0.0414,-2.492,0.016,0.95929642111975
7,7.032,79,24,4,85.8,0.1692,4,0.1032,33.9,0.4675,0.2287,0.0965,0.6679,83.9,0.123,51.5,5,0.5,0.01,0.0337,0.474,0.03075,0.979964430292264
8,8.023,103,29,4,85.8,0.0696,4,0.0572,22,0.4152,0.2074,0.1095,0.5615,65.2,0.191,41.2,5,0.5,0,0.0283,0.538,0.04775,0.913602190351082
9,9.025,133,33,5,69.5,0.1294,5,0.0889,27,0.476,0.1979,0.0975,0.6118,69.2,0.191,44.4,10,0.4,0,0.0272,-0.993,0.0382,0.977658207216737
10,10.025,163,37,6,61.5,0.0981,5,0.0898,18.7,0.3987,0.2179,0.1099,0.5755,58.4,0.226,35.3,13,1,0,0.0181,-1.018,0.0376666666666667,0.982831461218671
11,11.024,193,40,7,57.5,0.1195,7,0.08,23.5,0.4452,0.231,0.0974,0.6057,66.2,0.282,42.1,16,0.571,0.001,0.0289,1.203,0.0402857142857143,0.970315891189682
12,12.025,223,40,9,114.1,0.1318,7,0.0835,16.1,0.4728,0.2159,0.0878,0.6147,60.8,0.301,40.4,20,0.444,0.001,0.0222,-0.848,0.0334444444444444,0.985712416651416
13,13.022,253,38,11,105.2,0.1163,10,0.0882,14.8,0.4746,0.2011,0.0869,0.596,52.3,0.304,41.6,21,0.636,0,0.0158,0.702,0.0276363636363636,0.990728656404252
14,14.025,283,41,13,112.3,0.1407,12,0.0764,19.1,0.4832,0.1897,0.0837,0.6087,43.7,0.361,43.2,21,1,0,0.0275,-0.208,0.0277692307692308,0.980713405395137
15,15.025,313,42,15,99.6,0.0962,14,0.0543,11.9,0.4944,0.212,0.0803,0.6187,50.3,0.43,43.6,20,0.8,0.001,0.0152,0.436,0.0286666666666667,0.987438446716248
16,16.026,343,44,16,98.2,0.1023,15,0.0659,17.5,0.5041,0.2073,0.08,0.6222,49.4,0.485,42.2,21,0.563,0,0.0174,0.107,0.0303125,0.985428881369258
17,17.025,373,44,16,98.2,0.1155,16,0.0532,17.9,0.4828,0.2017,0.0813,0.617,60.7,0.54,44,21,0.438,0.002,0.021,0.576,0.03375,0.983332166035633
18,18.026,403,46,17,114.7,0.0819,17,0.0552,14.4,0.5282,0.1991,0.084,0.6453,67.9,0.587,42.2,21,0.412,0.029,0.0129,-0.628,0.0345294117647059,0.987517526579025
19,19.026,433,48,18,111.3,0.087,18,0.0621,14.4,0.4841,0.2072,0.0925,0.6046,54.7,0.562,43.3,21,-0.111,0,0.0161,-0.23,0.0312222222222222,0.982727699990815
20,20.023,463,52,18,111.3,0.0875,18,0.0635,12.1,0.4801,0.2057,0.0867,0.5975,59.8,0.552,40.5,21,-0.111,0.028,0.0136,0.299,0.0306666666666667,0.987847133509873
21,21.027,493,52,19,137.2,0.0772,18,0.063,21.1,0.4453,0.1964,0.0865,0.5745,65,0.535,40.4,21,0.421,0.007,0.0197,0.112,0.0281578947368421,0.966893210270182
22,22.028,523,52,18,144.3,0.0972,18,0.0541,20.1,0.4237,0.2103,0.0998,0.5434,75.3,0.557,38.9,21,0.5,0.056,0.0242,0.178,0.0309444444444444,0.968510890413315
23,23.027,553,51,19,137.6,0.0879,18,0.0496,29.4,0.4141,0.2346,0.0869,0.5912,91.7,0.575,45.7,22,0.579,0,0.0234,-0.53,0.0302631578947368,0.963914613357878
24,24.026,583,51,19,137.6,0.092,19,0.0634,18.5,0.4433,0.2241,0.0887,0.5934,70.2,0.651,40.7,22,0.684,0.001,0.0198,0.106,0.0342631578947368,0.97656616492696
25,25.026,613,51,19,137.6,0.0674,18,0.0469,17.8,0.4339,0.2008,0.0891,0.5712,80,0.722,42.2,22,0.526,0.026,0.0135,-0.639,0.038,0.979735279341203
26,26.028,642,52,19,138,0.0948,19,0.0656,31.9,0.439,0.2083,0.0905,0.5723,70.9,0.725,41.3,25,0.158,0,0.0221,-0.151,0.0381578947368421,0.972447409339077
